-- Logs begin at Wed 2020-04-01 21:44:20 UTC, end at Wed 2020-04-01 23:10:43 UTC. --
Apr 01 22:25:19 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Apr 01 22:25:19 ubuntu dstat.sh[2661]: [286B blob data]
Apr 01 22:25:19 ubuntu dstat.sh[2661]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Apr 01 22:25:43 ubuntu dstat.sh[2661]: 01-04 22:25:43|  2   2   4  91   2| 633M  288M 89.0M 2841M|4423B 2160B|   0    37M|   0   131 | 394   618 |1.30 1.27 1.24|  0 2.0   0|   0     0 |kworker/u4:2         90   1.0%   0    0 |python2              2741   14k 448B  0%|mysqld       192M|   0     0 |  15    7    0    7    0
Apr 01 22:25:44 ubuntu dstat.sh[2661]: 01-04 22:25:44|  2   2   2  94   2| 633M  288M 89.0M 2841M|4118B 1944B|   0  3256k|   0  92.0 | 490   579 |1.30 1.27 1.24|  0 2.0   0|   0     0 |kworker/u4:2         90   0.5%   0    0 |python2              2741   14k 469B0.5%|mysqld       192M|   0     0 |  15    7    0    7    0
Apr 01 22:25:45 ubuntu dstat.sh[2661]: 01-04 22:25:45|  1   2  17  81   1| 633M  289M 89.0M 2841M|7931B 2160B|   0  1480k|   0  94.0 | 537   598 |1.44 1.30 1.25|  0 2.0   0|   0     0 |conntrackd           165980.5%   0    0 |python2              2741   14k 463B  0%|mysqld       192M|   0     0 |  15    7    0    7    0
Apr 01 22:25:46 ubuntu dstat.sh[2661]: 01-04 22:25:46|  2   1  45  52   1| 633M  288M 89.0M 2841M|4148B 1944B|   0  2988k|   0   141 | 579   736 |1.44 1.30 1.25|  0 1.0 2.0|   0     0 |accounts-daemon      1002 0.5%   0    0 |python2              2741   14k 464B  0%|mysqld       192M|   0     0 |  15    7    0    7    0
Apr 01 22:25:47 ubuntu dstat.sh[2661]: 01-04 22:25:47|  3   2  41  54   1| 633M  288M 89.1M 2841M|4274B 2160B|   0  5624k|   0   119 | 631  1408 |1.44 1.30 1.25|  0 1.0   0|   0     0 |mysqld               1941 1.5%   0    0 |python2              2741   14k 475B  0%|mysqld       192M|   0     0 |  15    7    0    7    0
Apr 01 22:25:48 ubuntu dstat.sh[2661]: 01-04 22:25:48|  3   1  44  50   1| 633M  287M 89.3M 2842M|4115B 1890B|   0   892k|   0  60.0 | 508   994 |1.44 1.30 1.25|  0 1.0   0|   0     0 |mysqld               1941 1.0%   0    0 |python2              2741   14k 470B  0%|mysqld       192M|   0     0 |  15    7    0    7    0
Apr 01 22:25:49 ubuntu dstat.sh[2661]: 01-04 22:25:49|  5   3  47  44   1| 633M  286M 89.5M 2842M|7553B 1998B|   0  1448k|   0   119 | 716  1471 |1.44 1.30 1.25|  0 1.0   0|   0     0 |mysqld               1941 4.0%   0    0 |python2              2741   14k 455B0.5%|mysqld       192M|   0     0 |  15    7    0    7    0
Apr 01 22:25:50 ubuntu dstat.sh[2661]: 01-04 22:25:50|  8   5  36  50   2| 634M  286M 89.6M 2842M|4475B 2160B|   0   888k|   0  85.0 | 601  1537 |1.57 1.33 1.26|  0 1.0   0|   0     0 |mysqld               1941 9.0%   0    0 |python2              2741   14k 470B  0%|mysqld       192M|   0     0 |  15    7    0    7    0
Apr 01 22:25:51 ubuntu dstat.sh[2661]: 01-04 22:25:51|  1   1  32  65   0| 634M  285M 89.7M 2842M|3413B 1944B|   0   236k|   0  10.0 | 329   607 |1.57 1.33 1.26|  0 2.0   0|   0     0 |rcu_sched            8    0.5%   0    0 |python2              2741   14k 468B0.5%|mysqld       192M|   0     0 |  15    7    0    7    0
Apr 01 22:25:52 ubuntu dstat.sh[2661]: 01-04 22:25:52|  2   1  13  84   1| 634M  285M 89.7M 2842M|4884B 1944B|   0   144k|   0  28.0 | 377   607 |1.57 1.33 1.26|  0 1.0   0|   0     0 |beam.smp             3362 0.5%   0    0 |python2              2741   14k 449B  0%|mysqld       192M|   0     0 |  15    7    0    7    0
Apr 01 22:25:53 ubuntu dstat.sh[2661]: 01-04 22:25:53|  3   3  40  53   1| 634M  285M 89.8M 2843M|4569B 2160B|   0  7528k|   0  97.0 | 668  1265 |1.57 1.33 1.26|  0 1.0   0|   0     0 |mysqld               1941 2.0%   0    0 |python2              2741   14k 467B  0%|mysqld       192M|   0     0 |  15    7    0    7    0
Apr 01 22:25:54 ubuntu dstat.sh[2661]: 01-04 22:25:54|  8   5  45  41   1| 634M  284M 90.1M 2843M|3691B 2160B|   0  1472k|   0   121 | 921  1719 |1.57 1.33 1.26|1.0 1.0   0|   0     0 |mysqld               1941 9.0%   0    0 |python2              2741   14k 469B0.5%|mysqld       193M|   0     0 |  15    7    0    7    0
Apr 01 22:25:55 ubuntu dstat.sh[2661]: 01-04 22:25:55|  7   7  47  38   2| 635M  283M 90.2M 2843M|4344B 1944B|   0  1144k|   0  93.0 | 681  1408 |1.60 1.34 1.26|1.0 1.0   0|   0     0 |mysqld               1941  11%   0    0 |python2              2741   14k 470B  0%|mysqld       193M|   0     0 |  15    7    0    7    0
Apr 01 22:25:56 ubuntu dstat.sh[2661]: 01-04 22:25:56|  9   6  39  43   4| 635M  283M 90.4M 2843M|5978B 2160B|   0  1092k|   0  91.0 | 693  1390 |1.60 1.34 1.26|  0 1.0 2.0|   0     0 |mysqld               1941 9.0%   0    0 |python2              2741   14k 469B  0%|mysqld       193M|   0     0 |  15    7    0    7    0
Apr 01 22:25:57 ubuntu dstat.sh[2661]: 01-04 22:25:57|  4   3  41  51   2| 635M  282M 90.5M 2843M|5236B 2160B|   0  1120k|   0  66.0 | 573  1149 |1.60 1.34 1.26|  0 1.0   0|   0     0 |mysqld               1941 2.5%   0    0 |python2              2741   14k 475B  0%|mysqld       193M|   0     0 |  15    7    0    7    0
Apr 01 22:25:58 ubuntu dstat.sh[2661]: 01-04 22:25:58| 13  10  38  40   0| 635M  282M 90.8M 2843M|3805B 1944B|   0  1476k|   0   122 | 808  1568 |1.60 1.34 1.26|  0 1.0   0|   0     0 |mysqld               1941  19%   0    0 |python2              2741   14k 469B0.5%|mysqld       194M|   0     0 |  15    7    0    7    0
Apr 01 22:25:59 ubuntu dstat.sh[2661]: 01-04 22:25:59| 13  12  27  47   1| 636M  281M 91.0M 2843M|4522B 2160B|   0  1452k|   0   131 | 838  1563 |1.60 1.34 1.26|1.0 1.0   0|   0     0 |mysqld               1941  22%   0    0 |python2              2741   14k 461B  0%|mysqld       194M|   0     0 |  15    7    0    7    0
Apr 01 22:26:00 ubuntu dstat.sh[2661]: 01-04 22:26:00| 11   9  46  34   1| 636M  281M 91.3M 2843M|4503B 1944B|   0  1476k|   0   126 | 742  1644 |1.63 1.35 1.27|  0 1.0   0|   0     0 |mysqld               1941  16%   0    0 |python2              2741   14k 466B  0%|mysqld       194M|   0     0 |  15    7    0    7    0
Apr 01 22:26:01 ubuntu dstat.sh[2661]: 01-04 22:26:01|  7   2  45  45   0| 636M  280M 91.5M 2843M|3804B 2160B|   0  1484k|   0   119 | 673  1765 |1.63 1.35 1.27|1.0   0   0|   0     0 |mysqld               1941 4.0%   0    0 |python2              2741   14k 471B0.5%|mysqld       195M|   0     0 |  15    7    0    7    0
Apr 01 22:26:02 ubuntu dstat.sh[2661]: 01-04 22:26:02| 10   7  34  49   1| 636M  280M 91.7M 2843M|4262B 1944B|   0  1924k|   0   122 | 676  1990 |1.63 1.35 1.27|1.0 1.0   0|   0     0 |mysqld               1941  11%   0    0 |python2              2741   14k 460B  0%|mysqld       195M|   0     0 |  15    7    0    7    0
Apr 01 22:26:03 ubuntu dstat.sh[2661]: 01-04 22:26:03| 13   8  48  30   1| 636M  280M 91.9M 2843M|5159B 1986B|   0  1524k|   0   113 | 732  1617 |1.63 1.35 1.27|1.0 1.0   0|   0     0 |mysqld               1941  17%   0    0 |python2              2741   14k 464B  0%|mysqld       195M|   0     0 |  15    7    0    7    0
Apr 01 22:26:04 ubuntu dstat.sh[2661]: 01-04 22:26:04| 15  10  48  27   1| 637M  279M 92.1M 2843M|4309B 2160B|   0  1176k|   0  93.0 | 702  1398 |1.63 1.35 1.27|1.0 1.0   0|   0     0 |mysqld               1941  22%   0    0 |python2              2741   14k 465B0.5%|mysqld       195M|   0     0 |  15    7    0    7    0
Apr 01 22:26:05 ubuntu dstat.sh[2661]: 01-04 22:26:05| 11  10  35  44   1| 637M  279M 92.2M 2843M|3342B 1944B|   0  1420k|   0   109 | 750  1720 |1.74 1.38 1.28|  0 1.0   0|   0     0 |mysqld               1941  15%   0    0 |python2              2741   14k 471B  0%|mysqld       195M|   0     0 |  15    7    0    7    0
Apr 01 22:26:06 ubuntu dstat.sh[2661]: 01-04 22:26:06| 27  15  31  26   0| 638M  278M 92.3M 2843M|3926B 2160B|   0   808k|   0  68.0 | 762  2347 |1.74 1.38 1.28|2.0   0 2.0|   0     0 |mysqld               1941  16%   0    0 |python3.6            7793  164k 328k2.5%|mysqld       195M|   0     0 |  15    7    0    7    0
Apr 01 22:26:07 ubuntu dstat.sh[2661]: 01-04 22:26:07| 22  17  29  33   1| 638M  277M 92.5M 2844M|3699B 2160B|   0  1404k|   0   102 | 854  1808 |1.74 1.38 1.28|1.0 1.0   0|   0     0 |python2              1591  22% 169k 185k|python2              1591  169k 185k 22%|mysqld       196M|   0     0 |  15    7    0    7    0
Apr 01 22:26:08 ubuntu dstat.sh[2661]: 01-04 22:26:08| 13   9  42  37   0| 638M  276M 92.6M 2844M|4407B 2202B|   0   752k|   0  58.0 | 564  1761 |1.74 1.38 1.28|  0 1.0   0|   0     0 |mysqld               1941  17%   0    0 |python2              2741   14k 460B0.5%|mysqld       196M|   0     0 |  15    7    0    7    0
Apr 01 22:26:09 ubuntu dstat.sh[2661]: 01-04 22:26:09| 12  10  30  47   1| 639M  276M 92.8M 2844M|8464B 1944B|   0  1080k|   0  97.0 | 659  1667 |1.74 1.38 1.28|1.0 1.0   0|   0     0 |mysqld               1941  19%   0    0 |python2              2741   14k 459B  0%|mysqld       196M|   0     0 |  15    7    0    7    0
Apr 01 22:26:10 ubuntu dstat.sh[2661]: 01-04 22:26:10|  6   4  43  43   2| 639M  276M 92.9M 2844M|5032B 2160B|   0  1036k|   0  80.0 | 567  1315 |1.76 1.39 1.28|  0 1.0   0|   0     0 |mysqld               1941 6.5%   0    0 |python2              2741   14k 465B0.5%|mysqld       196M|   0     0 |  15    7    0    7    0
Apr 01 22:26:11 ubuntu dstat.sh[2661]: 01-04 22:26:11| 11   9  29  49   2| 639M  275M 93.1M 2844M|4302B 1944B|   0  1224k|   0   106 | 752  1660 |1.76 1.39 1.28|  0 1.0   0|   0     0 |mysqld               1941  16%   0    0 |python2              2741   14k 463B  0%|mysqld       196M|   0     0 |  15    7    0    7    0
Apr 01 22:26:12 ubuntu dstat.sh[2661]: 01-04 22:26:12|  9   6  37  37   9| 639M  275M 93.3M 2844M|5116B 1944B|   0  1156k|   0  90.0 | 736  1714 |1.76 1.39 1.28|  0 1.0   0|   0     0 |mysqld               1941  14%   0    0 |python2              2741   14k 465B  0%|mysqld       196M|   0     0 |  15    7    0    3    0
Apr 01 22:26:13 ubuntu dstat.sh[2661]: 01-04 22:26:13|  6   7  41  34  13| 639M  275M 93.4M 2844M|5650B 1944B|   0  1008k|   0  76.0 | 596  1173 |1.76 1.39 1.28|1.0 1.0   0|   0     0 |mysqld               1941  16%   0    0 |python2              2741   27k 927B0.5%|mysqld       196M|   0     0 |  15    7    0    3    0
Apr 01 22:26:14 ubuntu dstat.sh[2661]: 01-04 22:26:14|  9   6  41  34   9| 639M  274M 93.6M 2844M|4479B 2160B|   0  1668k|   0   117 |1029  1811 |1.76 1.39 1.28|1.0 1.0   0|   0     0 |mysqld               1941 7.0%   0    0 |keystone-manage      4058 8124B5105B5.5%|mysqld       197M|   0     0 |  15    7    0    3    0
Apr 01 22:26:15 ubuntu dstat.sh[2661]: 01-04 22:26:15|  5   5  45  40   5| 640M  273M 93.8M 2844M|  16k 2160B|   0  1260k|   0  88.0 | 653  1285 |1.86 1.42 1.29|  0 1.0   0|   0     0 |mysqld               1941 6.0%   0    0 |python2              2741   11k 471B  0%|mysqld       197M|   0     0 |  15    7    0    3    0
Apr 01 22:26:16 ubuntu dstat.sh[2661]: 01-04 22:26:16|  7   2  44  42   4| 640M  272M 93.9M 2844M|4441B 1944B|   0  1364k|   0   103 | 674  1461 |1.86 1.42 1.29|  0 1.0 2.0|   0     0 |mysqld               1941 4.5%   0    0 |python2              2741   13k 470B0.5%|mysqld       197M|   0     0 |  15    7    0    3    0
Apr 01 22:26:17 ubuntu dstat.sh[2661]: 01-04 22:26:17| 10   7  39  39   6| 640M  272M 94.1M 2844M|4440B 2106B|   0  1432k|   0   115 | 642  1156 |1.86 1.42 1.29|1.0 1.0   0|   0     0 |mysqld               1941  15%   0    0 |python2              2741   13k 476B0.5%|mysqld       197M|   0     0 |  15    7    0    4    0
Apr 01 22:26:18 ubuntu dstat.sh[2661]: 01-04 22:26:18| 11   7  37  36   9| 641M  271M 94.3M 2845M|5268B 1998B|   0  1444k|   0  93.0 | 846  2220 |1.86 1.42 1.29|  0 1.0   0|   0     0 |mysqld               1941  12%   0    0 |python2              2741   13k 470B  0%|mysqld       197M|   0     0 |  15    7    0    3    0
Apr 01 22:26:19 ubuntu dstat.sh[2661]: 01-04 22:26:19| 11   6  33  38  11| 641M  271M 94.5M 2845M|4057B 2160B|   0  1504k|   0   118 | 749  1455 |1.86 1.42 1.29|1.0 1.0   0|   0     0 |mysqld               1941  17%   0    0 |python2              2741   13k 470B  0%|mysqld       198M|   0     0 |  15    7    0    3    0
Apr 01 22:26:20 ubuntu dstat.sh[2661]: 01-04 22:26:20|  9   8  33  45   4| 641M  270M 94.8M 2845M|3130B 1728B|   0  1608k|   0   134 | 735  1686 |1.87 1.43 1.29|  0 1.0   0|   0     0 |mysqld               1941  17%   0    0 |python2              2741   13k 472B0.5%|mysqld       198M|   0     0 |  15    7    0    3    0
Apr 01 22:26:21 ubuntu dstat.sh[2661]: 01-04 22:26:21|  7  10  34  42   7| 642M  270M 95.0M 2845M|3446B 1944B|   0  1272k|   0  93.0 | 612  1270 |1.87 1.43 1.29|1.0   0   0|   0     0 |mysqld               1941  13%   0    0 |python2              2741   13k 464B  0%|mysqld       198M|   0     0 |  15    7    0    3    0
Apr 01 22:26:22 ubuntu dstat.sh[2661]: 01-04 22:26:22| 10  12  31  42   4| 642M  269M 95.1M 2845M|4910B 2160B|   0  1016k|   0  72.0 | 642  1086 |1.87 1.43 1.29|  0 2.0   0|   0     0 |mysqld               1941  22%   0    0 |python2              2741   13k 469B  0%|mysqld       198M|   0     0 |  15    7    0    3    0
Apr 01 22:26:23 ubuntu dstat.sh[2661]: 01-04 22:26:23|  4   2  43  48   3| 642M  269M 95.2M 2845M|3633B 1944B|   0   904k|   0  82.0 | 647  1490 |1.87 1.43 1.29|  0 1.0   0|   0     0 |keystone-manage      4058 2.5%3012B1800B|python2              2741   13k 471B  0%|mysqld       198M|   0     0 |  15    7    0    3    0
Apr 01 22:26:24 ubuntu dstat.sh[2661]: 01-04 22:26:24|  4   5  21  68   3| 642M  269M 95.3M 2845M|6287B 2160B|   0   844k|   0  47.0 | 484   901 |1.87 1.43 1.29|1.0 1.0   0|   0     0 |mysqld               1941 6.5%   0    0 |python2              2741   27k 911B0.5%|mysqld       198M|   0     0 |  15    7    0    3    0
Apr 01 22:26:25 ubuntu dstat.sh[2661]: 01-04 22:26:25|  6   3  42  46   3| 642M  268M 95.4M 2845M|5063B 1836B|   0   908k|   0  49.0 | 486  1131 |1.88 1.44 1.30|1.0 1.0   0|   0     0 |mysqld               1941 3.5%   0    0 |keystone-manage      4058 1916B1351B2.0%|mysqld       198M|   0     0 |  15    7    0    1    0
Apr 01 22:26:26 ubuntu dstat.sh[2661]: 01-04 22:26:26| 13  12  45  25   4| 642M  268M 95.5M 2845M|6649B 2362B|   0  1036k|   0  59.0 | 593  1165 |1.88 1.44 1.30|  0 1.0 2.0|   0     0 |mysqld               1941  23%   0    0 |python2              2741   13k 469B0.5%|mysqld       199M|   0     0 |  15    7    0    1    0
Apr 01 22:26:27 ubuntu dstat.sh[2661]: 01-04 22:26:27|  5   3  43  43   6| 642M  268M 95.7M 2845M|5390B 1944B|   0  1024k|   0  62.0 | 706  1487 |1.88 1.44 1.30|1.0 1.0   0|   0     0 |mysqld               1941 4.0%   0    0 |python2              2741   26k 942B0.5%|mysqld       199M|   0     0 |  15    7    0    1    0
Apr 01 22:26:28 ubuntu dstat.sh[2661]: 01-04 22:26:28| 16  18  35  22   9| 642M  268M 95.8M 2845M|3722B 2160B|   0  2036k|   0  83.0 | 812  1423 |1.88 1.44 1.30|1.0   0   0|   0     0 |mysqld               1941  32%   0    0 |python2              2741   13k 462B  0%|mysqld       199M|   0     0 |  15    7    0    1    0
Apr 01 22:26:29 ubuntu dstat.sh[2661]: 01-04 22:26:29|  7   7  37  46   5| 643M  267M 96.0M 2845M|3780B 1944B|   0  1280k|   0  81.0 | 745  1464 |1.88 1.44 1.30|  0 1.0   0|   0     0 |mysqld               1941 9.5%   0    0 |keystone-manage      4058 1506B1066B1.5%|mysqld       199M|   0     0 |  15    7    0    1    0
Apr 01 22:26:30 ubuntu dstat.sh[2661]: 01-04 22:26:30|  6   7  41  45   1| 643M  267M 96.2M 2845M|5118B 2160B|   0  1292k|   0   101 | 818  1558 |1.89 1.45 1.30|  0 1.0   0|   0     0 |mysqld               1941 8.5%   0    0 |python2              2741   13k 470B  0%|mysqld       199M|   0     0 |  15    7    0    1    0
Apr 01 22:26:31 ubuntu dstat.sh[2661]: 01-04 22:26:31| 16   7  37  39   1| 643M  266M 96.3M 2845M|5146B 2160B|   0  1496k|   0   104 | 930  2774 |1.89 1.45 1.30|2.0   0   0|   0     0 |keystone-manage      4058 7.0%  10k 113k|python3.6            7793  105k 218k1.5%|mysqld       199M|   0     0 |  15    7    0    1    0
Apr 01 22:26:32 ubuntu dstat.sh[2661]: 01-04 22:26:32| 43  27   8  21   1| 643M  265M 96.4M 2846M|8085B 1944B|   0  1060k|   0  52.0 | 984  2262 |1.89 1.45 1.30|1.0   0   0|   0     0 |python2              1591  37% 286k 312k|python3.6            7793  226k 472k2.0%|mysqld       199M|   0     0 |  15    7    0    1    0
