-- Logs begin at Wed 2020-04-01 15:53:54 UTC, end at Wed 2020-04-01 17:21:49 UTC. --
Apr 01 16:34:13 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Apr 01 16:34:14 ubuntu dstat.sh[1989]: [286B blob data]
Apr 01 16:34:14 ubuntu dstat.sh[1989]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Apr 01 16:34:36 ubuntu dstat.sh[1989]: 01-04 16:34:36|  3   2  45  49   0| 626M  449M 87.1M 2692M|7636B 2160B|   0  4800k|   0  60.0 | 610   969 |1.62 1.51 1.30|  0 1.0   0|   0     0 |kworker/u4:4         188  0.5%   0    0 |python2              2257   14k 462B  0%|mysqld       187M|   0     0 |  16    7    0    8    0
Apr 01 16:34:37 ubuntu dstat.sh[1989]: 01-04 16:34:37|  3   2  48  45   1| 627M  449M 87.1M 2692M|4917B 2160B|   0   392k|   0  26.0 | 525   929 |1.65 1.52 1.30|  0 1.0 2.0|   0     0 |mysqld               1260 1.0%   0    0 |python2              2257   14k 473B  0%|mysqld       187M|   0     0 |  16    7    0    8    0
Apr 01 16:34:38 ubuntu dstat.sh[1989]: 01-04 16:34:38|  2   2  46  46   3| 627M  449M 87.2M 2692M|7708B 1944B|   0   456k|   0  19.0 | 441   792 |1.65 1.52 1.30|2.0 1.0   0|   0     0 |rcu_sched            8    1.5%   0    0 |python2              2257   14k 461B0.5%|mysqld       187M|   0     0 |  16    7    0    8    0
Apr 01 16:34:39 ubuntu dstat.sh[1989]: 01-04 16:34:39|  2   2  47  48   1| 627M  449M 87.3M 2693M|8733B 2160B|   0   476k|   0  35.0 | 516   846 |1.65 1.52 1.30|  0 1.0   0|   0     0 |rcu_sched            8    0.5%   0    0 |python2              2257   14k 449B  0%|mysqld       187M|   0     0 |  16    7    0    8    0
Apr 01 16:34:40 ubuntu dstat.sh[1989]: 01-04 16:34:40|  8   9  36  44   2| 627M  448M 87.4M 2693M|8153B 1890B|   0   600k|   0  65.0 | 717  1258 |1.65 1.52 1.30|  0 1.0   0|   0     0 |mysqld               1260  14%   0    0 |python2              2257   14k 468B  0%|mysqld       188M|   0     0 |  16    7    0    8    0
Apr 01 16:34:41 ubuntu dstat.sh[1989]: 01-04 16:34:41|  8   7  38  47   1| 628M  447M 87.6M 2693M|  18k 2214B|   0   636k|   0  65.0 | 748  1205 |1.65 1.52 1.30|  0 1.0   0|   0     0 |mysqld               1260  10%   0    0 |python2              2257   14k 469B0.5%|mysqld       188M|   0     0 |  16    7    0    8    0
Apr 01 16:34:42 ubuntu dstat.sh[1989]: 01-04 16:34:42|  8   8  36  48   1| 628M  447M 87.7M 2693M|6148B 2160B|   0   480k|   0  47.0 | 604  1032 |1.76 1.55 1.31|1.0 1.0   0|   0     0 |mysqld               1260  13%   0    0 |python2              2257   14k 462B  0%|mysqld       188M|   0     0 |  16    7    0    8    0
Apr 01 16:34:43 ubuntu dstat.sh[1989]: 01-04 16:34:43|  6   7  32  53   1| 628M  446M 87.9M 2693M|8870B 1944B|   0  1232k|   0   107 | 735  1130 |1.76 1.55 1.31|  0 3.0   0|   0     0 |mysqld               1260 9.0%   0    0 |python2              2257   14k   0   0%|mysqld       188M|   0     0 |  16    7    0    8    0
Apr 01 16:34:44 ubuntu dstat.sh[1989]: 01-04 16:34:44|  3   1   0  95   0| 628M  446M 87.9M 2693M|6811B 2160B|   0   328k|   0  57.0 | 417   631 |1.76 1.55 1.31|  0 4.0   0|   0     0 |rcu_sched            8    0.5%   0    0 |                                        |mysqld       188M|   0     0 |  16    7    0    8    0
Apr 01 16:34:45 ubuntu dstat.sh[1989]: 01-04 16:34:45|  2   2   0  96   0| 628M  446M 87.9M 2693M|4948B 2160B|   0   272k|   0  31.0 | 365   673 |1.76 1.55 1.31|  0 2.0   0|   0     0 |rcu_sched            8    0.5%   0    0 |python2              2257   29k1364B0.5%|mysqld       188M|   0     0 |  16    7    0    8    0
Apr 01 16:34:46 ubuntu dstat.sh[1989]: 01-04 16:34:46|  6   5   0  89   0| 628M  446M 87.9M 2693M|4693B 1944B|   0   164k|   0  22.0 | 418   991 |1.76 1.55 1.31|1.0 5.0   0|   0     0 |mysqld               1260 7.0%   0    0 |python2              2257   14k   0   0%|mysqld       188M|   0     0 |  16    7    0    8    0
Apr 01 16:34:47 ubuntu dstat.sh[1989]: 01-04 16:34:47| 27  25   0  48   0| 628M  446M 87.9M 2693M|4697B 2160B|   0  1012k|   0  62.0 | 609   679 |2.34 1.67 1.35|1.0 7.0 2.0|   0     0 |mysqld               1260  50%   0    0 |python2              2257   14k 897B0.5%|mysqld       188M|   0     0 |  16    7    0    8    0
Apr 01 16:34:48 ubuntu dstat.sh[1989]: 01-04 16:34:48| 15  13  32  38   1| 628M  446M 87.9M 2693M|5664B 2160B|   0   540k|   0  57.0 | 546   791 |2.34 1.67 1.35|2.0   0   0|   0     0 |mysqld               1260  23%   0    0 |python2              2257   14k 463B  0%|mysqld       188M|   0     0 |  16    7    0    8    0
Apr 01 16:34:49 ubuntu dstat.sh[1989]: 01-04 16:34:49|  9  10  32  43   5| 629M  445M 88.0M 2693M|4539B 1944B|   0   580k|   0  48.0 | 603  1103 |2.34 1.67 1.35|1.0 1.0   0|   0     0 |mysqld               1260  17%   0    0 |python2              2257   14k 457B  0%|mysqld       189M|   0     0 |  16    7    0    8    0
Apr 01 16:34:50 ubuntu dstat.sh[1989]: 01-04 16:34:50| 15  16  42  25   0| 629M  445M 88.1M 2693M|3993B 2160B|   0   300k|   0  30.0 | 544   872 |2.34 1.67 1.35|  0 1.0   0|   0     0 |mysqld               1260  27%   0    0 |python2              2257   14k 463B0.5%|mysqld       189M|   0     0 |  16    7    0    8    0
Apr 01 16:34:51 ubuntu dstat.sh[1989]: 01-04 16:34:51|  4   1  43  50   1| 629M  445M 88.1M 2693M|3988B 1944B|   0   316k|   0  17.0 | 401   849 |2.34 1.67 1.35|  0 1.0   0|   0     0 |rcu_sched            8    1.0%   0    0 |python2              2257   14k 463B  0%|mysqld       189M|   0     0 |  16    7    0    8    0
Apr 01 16:34:52 ubuntu dstat.sh[1989]: 01-04 16:34:52|  2   2  46  48   1| 629M  445M 88.2M 2693M|4553B 2160B|   0   228k|   0  16.0 | 418   766 |2.39 1.69 1.36|  0 1.0   0|   0     0 |rcu_sched            8    0.5%   0    0 |python2              2257   14k 467B0.5%|mysqld       189M|   0     0 |  16    7    0    8    0
Apr 01 16:34:53 ubuntu dstat.sh[1989]: 01-04 16:34:53| 22  24  26  28   0| 629M  445M 88.3M 2693M|6730B 2160B|   0   528k|   0  49.0 | 705  1035 |2.39 1.69 1.36|1.0 1.0   0|   0     0 |mysqld               1260  44%   0    0 |python2              2257   14k 470B  0%|mysqld       189M|   0     0 |  16    7    0    8    0
Apr 01 16:34:54 ubuntu dstat.sh[1989]: 01-04 16:34:54|  4   5  45  45   1| 629M  444M 88.3M 2693M|4983B 2160B|   0   508k|   0  35.0 | 532   958 |2.39 1.69 1.36|1.0   0   0|   0     0 |mysqld               1260 5.0%   0    0 |python2              2257   14k 467B  0%|mysqld       189M|   0     0 |  16    7    0    8    0
Apr 01 16:34:55 ubuntu dstat.sh[1989]: 01-04 16:34:55|  7   9  42  42   1| 629M  444M 88.4M 2693M|3917B 1944B|   0   292k|   0  29.0 | 591  1052 |2.39 1.69 1.36|1.0 1.0   0|   0     0 |mysqld               1260  13%   0    0 |python2              2257   14k 468B0.5%|mysqld       189M|   0     0 |  16    7    0    8    0
Apr 01 16:34:56 ubuntu dstat.sh[1989]: 01-04 16:34:56| 13  15  26  40   6| 629M  444M 88.5M 2693M|6857B 2160B|   0  8612k|   0  68.0 | 736  1206 |2.39 1.69 1.36|1.0 1.0   0|   0     0 |mysqld               1260  26%   0    0 |python2              2257   14k 471B0.5%|mysqld       189M|   0     0 |  16    7    0    8    0
Apr 01 16:34:57 ubuntu dstat.sh[1989]: 01-04 16:34:57| 11  13  32  43   0| 630M  444M 88.6M 2693M|3802B 1944B|   0   680k|   0  52.0 | 665  1113 |2.44 1.71 1.37|1.0 1.0 2.0|   0     0 |mysqld               1260  20%   0    0 |python2              2257   14k 466B  0%|mysqld       189M|   0     0 |  16    7    0    8    0
Apr 01 16:34:58 ubuntu dstat.sh[1989]: 01-04 16:34:58| 24  28   9  38   1| 629M  444M 88.7M 2693M|5169B 1944B|   0  1312k|   0  51.0 | 697   948 |2.44 1.71 1.37|1.0 1.0   0|   0     0 |mysqld               1260  49%   0    0 |python2              2257   14k 469B  0%|mysqld       190M|   0     0 |  16    7    0    8    0
Apr 01 16:34:59 ubuntu dstat.sh[1989]: 01-04 16:34:59|  9   9  34  47   0| 630M  443M 88.8M 2693M|  10k 1944B|   0   536k|   0  39.0 | 533  1002 |2.44 1.71 1.37|  0 1.0   0|   0     0 |mysqld               1260  14%   0    0 |python2              2257   14k 469B0.5%|mysqld       190M|   0     0 |  16    7    0    8    0
Apr 01 16:35:00 ubuntu dstat.sh[1989]: 01-04 16:35:00|  4   3  46  48   1| 630M  443M 88.8M 2693M|3511B 2160B|   0   520k|   0  36.0 | 483  1337 |2.44 1.71 1.37|  0 1.0   0|   0     0 |etcd                 3031 1.0%   0    0 |python2              2257   14k 458B  0%|mysqld       190M|   0     0 |  16    7    0    8    0
Apr 01 16:35:01 ubuntu dstat.sh[1989]: 01-04 16:35:01|  3   2  43  51   0| 630M  443M 88.8M 2693M|4572B 1944B|   0   404k|   0  20.0 | 448   966 |2.44 1.71 1.37|2.0   0   0|   0     0 |keystone-manage      3391 1.5%6554B3144B|python2              2257   14k 457B  0%|mysqld       190M|   0     0 |  16    7    0    8    0
Apr 01 16:35:02 ubuntu dstat.sh[1989]: 01-04 16:35:02|  5   2  41  51   0| 631M  442M 88.9M 2693M|5206B 2160B|   0   712k|   0  52.0 | 512  1096 |2.41 1.72 1.38|  0 2.0   0|   0     0 |mysqld               1260 3.5%   0    0 |python2              2257   14k 456B  0%|mysqld       190M|   0     0 |  16    7    0    6    0
Apr 01 16:35:03 ubuntu dstat.sh[1989]: 01-04 16:35:03|  4   4  37  55   0| 631M  442M 89.0M 2693M|3116B 1986B|   0   272k|   0  22.0 | 353   762 |2.41 1.72 1.38|2.0   0   0|   0     0 |mysqld               1260 4.0%   0    0 |python2              2257   14k 457B0.5%|mysqld       190M|   0     0 |  16    7    0    6    0
Apr 01 16:35:04 ubuntu dstat.sh[1989]: 01-04 16:35:04|  9  12  38  40   1| 631M  442M 89.0M 2693M|4416B 2160B|   0   404k|   0  25.0 | 562   925 |2.41 1.72 1.38|  0 1.0   0|   0     0 |mysqld               1260  16%   0    0 |python2              2257   14k 459B  0%|mysqld       190M|   0     0 |  16    7    0    3    0
Apr 01 16:35:05 ubuntu dstat.sh[1989]: 01-04 16:35:05|  5   3  47  45   0| 631M  442M 89.1M 2693M|3767B 1944B|   0   296k|   0  24.0 | 426   862 |2.41 1.72 1.38|1.0 1.0   0|   0     0 |mysqld               1260 5.0%   0    0 |python2              2257   14k 457B  0%|mysqld       191M|   0     0 |  16    7    0    3    0
Apr 01 16:35:06 ubuntu dstat.sh[1989]: 01-04 16:35:06|  7   8  43  42   1| 631M  442M 89.2M 2693M|6217B 2160B|   0   488k|   0  32.0 | 636  1053 |2.41 1.72 1.38|  0 1.0   0|   0     0 |mysqld               1260  11%   0    0 |python2              2257   14k 462B1.0%|mysqld       191M|   0     0 |  16    7    0    3    0
Apr 01 16:35:07 ubuntu dstat.sh[1989]: 01-04 16:35:07|  4   1  48  46   0| 631M  441M 89.2M 2693M|5405B 1944B|   0   256k|   0  22.0 | 524  1171 |2.37 1.72 1.38|  0 1.0 2.0|   0     0 |keystone-manage      3391 2.0%3028B1804B|python2              2257   14k 450B  0%|mysqld       191M|   0     0 |  16    7    0    3    0
Apr 01 16:35:08 ubuntu dstat.sh[1989]: 01-04 16:35:08|  2   2  47  47   0| 631M  441M 89.2M 2693M|5003B 1944B|   0   300k|   0  13.0 | 398   854 |2.37 1.72 1.38|  0 1.0   0|   0     0 |keystone-manage      3391 1.0%2629B1623B|python2              2257   14k 455B  0%|mysqld       191M|   0     0 |  16    7    0    3    0
Apr 01 16:35:09 ubuntu dstat.sh[1989]: 01-04 16:35:09|  3   4  46  46   0| 632M  374M 89.3M 2757M|3308B 1944B|   0   456k|   0  34.0 | 471   987 |2.37 1.72 1.38|  0 1.0   0|   0     0 |mysqld               1260 3.0%   0    0 |python2              2257   14k 455B0.5%|mysqld       192M|   0     0 |  16    7    0    3    0
Apr 01 16:35:10 ubuntu dstat.sh[1989]: 01-04 16:35:10|  2   1  48  49   0| 632M  374M 89.3M 2757M|3937B 1986B|   0     0 |   0     0 | 237   610 |2.37 1.72 1.38|  0 1.0   0|   0     0 |etcd                 3031 1.0%   0    0 |python2              2257   14k 425B  0%|mysqld       192M|   0     0 |  16    7    0    3    0
Apr 01 16:35:11 ubuntu dstat.sh[1989]: 01-04 16:35:11|  2   1   7  89   1| 632M  374M 89.3M 2757M|5620B 2160B|   0    64M|   0  66.0 | 304   670 |2.37 1.72 1.38|  0 1.0   0|   0     0 |rcu_sched            8    0.5%   0    0 |python2              2257   14k 462B  0%|mysqld       192M|   0     0 |  16    7    0    3    0
Apr 01 16:35:12 ubuntu dstat.sh[1989]: 01-04 16:35:12|  3   2  39  55   1| 632M  374M 89.4M 2758M|5544B 1944B|   0  5484k|   0  58.0 | 575  1088 |2.34 1.73 1.38|  0 1.0   0|   0     0 |mysqld               1260 2.0%   0    0 |python2              2257   14k 457B0.5%|mysqld       192M|   0     0 |  16    7    0    3    0
Apr 01 16:35:13 ubuntu dstat.sh[1989]: 01-04 16:35:13|  3   2  45  49   0| 632M  373M 89.5M 2758M|4731B 2160B|   0  2156k|   0  48.0 | 516  1032 |2.34 1.73 1.38|  0 1.0   0|   0     0 |mysqld               1260 1.0%   0    0 |python2              2257   14k 457B  0%|mysqld       192M|   0     0 |  16    7    0    3    0
Apr 01 16:35:14 ubuntu dstat.sh[1989]: 01-04 16:35:14|  2   2  36  58   1| 632M  373M 89.5M 2758M|4454B 1944B|   0   312k|   0  27.0 | 453   773 |2.34 1.73 1.38|  0 1.0   0|   0     0 |mysqld               1260 1.0%   0    0 |python2              2257   14k 461B  0%|mysqld       192M|   0     0 |  16    7    0    3    0
Apr 01 16:35:15 ubuntu dstat.sh[1989]: 01-04 16:35:15|  2   2  46  49   0| 633M  373M 89.6M 2758M|3850B 2160B|   0   608k|   0  35.0 | 493   844 |2.34 1.73 1.38|  0 1.0 1.0|   0     0 |mysqld               1260 0.5%   0    0 |python2              2257   14k 461B  0%|mysqld       192M|   0     0 |  16    7    0    3    0
Apr 01 16:35:16 ubuntu dstat.sh[1989]: 01-04 16:35:16|  3   1  21  74   1| 633M  373M 89.7M 2758M|4772B 2160B|   0  4324k|   0  38.0 | 513   902 |2.34 1.73 1.38|  0 2.0   0|   0     0 |keystone-manage      3391 1.0%3060B1683B|python2              2257   14k 450B0.5%|mysqld       192M|   0     0 |  16    7    0    3    0
Apr 01 16:35:17 ubuntu dstat.sh[1989]: 01-04 16:35:17|  2   2  40  55   1| 633M  372M 89.8M 2758M|4503B 1944B|   0  4708k|   0  59.0 | 616  1107 |2.40 1.75 1.39|  0 1.0 2.0|   0     0 |jbd2/vda1-8          304  0.5%   0    0 |python2              2257   14k 469B  0%|mysqld       192M|   0     0 |  16    7    0    3    0
Apr 01 16:35:18 ubuntu dstat.sh[1989]: 01-04 16:35:18| 12  11  27  49   0| 633M  372M 89.8M 2758M|4791B 2160B|   0   508k|   0  65.0 | 713   878 |2.40 1.75 1.39|  0 2.0   0|   0     0 |mysqld               1260  20%   0    0 |python2              2257   14k 457B  0%|mysqld       192M|   0     0 |  16    7    0    3    0
Apr 01 16:35:19 ubuntu dstat.sh[1989]: 01-04 16:35:19|  2   2  40  55   0| 633M  372M 89.9M 2758M|5046B 2160B|   0   880k|   0  78.0 | 646  1066 |2.40 1.75 1.39|1.0 1.0   0|   0     0 |mysqld               1260 1.0%   0    0 |python2              2257   14k 452B0.5%|mysqld       193M|   0     0 |  16    7    0    3    0
Apr 01 16:35:20 ubuntu dstat.sh[1989]: 01-04 16:35:20| 11   8  39  40   1| 633M  371M 90.1M 2758M|4256B 1944B|   0   656k|   0  56.0 | 588  1114 |2.40 1.75 1.39|2.0   0   0|   0     0 |mysqld               1260  14%   0    0 |python2              2257   13k 457B  0%|mysqld       193M|   0     0 |  16    7    0    1    0
Apr 01 16:35:21 ubuntu dstat.sh[1989]: 01-04 16:35:21|  2   3  46  47   1| 633M  371M 90.2M 2758M|4048B 1944B|   0   888k|   0  60.0 | 553  1019 |2.40 1.75 1.39|  0 1.0   0|   0     0 |mysqld               1260 1.5%   0    0 |python2              2257   13k 468B  0%|mysqld       193M|   0     0 |  16    7    0    1    0
Apr 01 16:35:22 ubuntu dstat.sh[1989]: 01-04 16:35:22|  2   2  48  47   0| 633M  371M 90.2M 2758M|4454B 2160B|   0   344k|   0  31.0 | 457   842 |2.45 1.77 1.40|  0 1.0   0|   0     0 |keystone-manage      3391 1.0%1034B 819B|python2              2257   13k 461B0.5%|mysqld       193M|   0     0 |  16    7    0    1    0
Apr 01 16:35:23 ubuntu dstat.sh[1989]: 01-04 16:35:23|  4   2  44  49   1| 634M  371M 90.3M 2759M|8325B 1890B|   0   728k|   0  54.0 | 557  1016 |2.45 1.77 1.40|  0 1.0   0|   0     0 |mysqld               1260 1.5%   0    0 |python2              2257   13k 456B  0%|mysqld       193M|   0     0 |  16    7    0    1    0
Apr 01 16:35:24 ubuntu dstat.sh[1989]: 01-04 16:35:24| 17  21  21  41   1| 634M  370M 90.4M 2759M|5652B 2214B|   0   460k|   0  42.0 | 635  1016 |2.45 1.77 1.40|1.0 1.0   0|   0     0 |mysqld               1260  34%   0    0 |python2              2257   13k 470B  0%|mysqld       193M|   0     0 |  16    7    0    1    0
Apr 01 16:35:25 ubuntu dstat.sh[1989]: 01-04 16:35:25| 13  15  22  49   0| 634M  370M 90.5M 2759M|4302B 2160B|   0   552k|   0  44.0 | 583   955 |2.45 1.77 1.40|1.0 1.0   0|   0     0 |mysqld               1260  24%   0    0 |python2              2257   13k 457B  0%|mysqld       193M|   0     0 |  16    7    0    1    0
Apr 01 16:35:26 ubuntu dstat.sh[1989]: 01-04 16:35:26|  6   5  42  46   1| 634M  370M 90.6M 2759M|4141B 1944B|   0   660k|   0  54.0 | 611  1267 |2.45 1.77 1.40|  0 1.0   0|   0     0 |mysqld               1260 7.5%   0    0 |python2              2257   13k 462B0.5%|mysqld       193M|   0     0 |  16    7    0    1    0
Apr 01 16:35:27 ubuntu dstat.sh[1989]: 01-04 16:35:27| 15  13  48  25   0| 634M  370M 90.7M 2758M|6061B 2160B|   0   628k|   0  57.0 | 717  1370 |2.41 1.78 1.40|  0 1.0 2.0|   0     0 |mysqld               1260  22%   0    0 |python2              2257   13k 460B  0%|mysqld       193M|   0     0 |  16    7    0    2    0
