-- Logs begin at Wed 2020-04-01 01:10:47 UTC, end at Wed 2020-04-01 02:40:31 UTC. --
Apr 01 01:51:44 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Apr 01 01:51:45 ubuntu dstat.sh[1374]: [286B blob data]
Apr 01 01:51:45 ubuntu dstat.sh[1374]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Apr 01 01:51:55 ubuntu dstat.sh[1374]: 01-04 01:51:55| 19   7  30  43   2| 624M  524M 88.0M 2624M|6479B 1944B|  28k 1536k|3.00  26.0 | 728  1212 |1.29 1.32 1.26|  0 1.0   0|   0     0 |python2              1692  11%  83k  91k|keystone-manage      2778  440k  83k9.5%|mysqld       184M|   0     0 |  16    7    0    7    0
Apr 01 01:51:56 ubuntu dstat.sh[1374]: 01-04 01:51:56|  8   4  44  43   1| 626M  522M 88.1M 2624M|6773B 2202B|   0   600k|   0  34.0 | 553   999 |1.29 1.32 1.26|  0 1.0   0|   0     0 |keystone-manage      2778 5.0%  38k  53k|keystone-manage      2778   38k  53k5.0%|mysqld       186M|   0     0 |  16    7    0    7    0
Apr 01 01:51:57 ubuntu dstat.sh[1374]: 01-04 01:51:57|  2   2  42  53   3| 626M  521M 88.2M 2624M|5010B 2160B|   0   748k|   0  53.0 | 532   916 |1.35 1.33 1.27|  0 1.0   0|   0     0 |mysqld               632  2.0%   0    0 |python2              1510   14k 461B0.5%|mysqld       186M|   0     0 |  16    7    0    7    0
Apr 01 01:51:58 ubuntu dstat.sh[1374]: 01-04 01:51:58|  4   2  46  43   4| 627M  520M 88.5M 2625M|4269B 1944B|   0  1796k|   0   132 | 929  1373 |1.35 1.33 1.27|  0 1.0   0|   0     0 |mysqld               632  3.0%   0    0 |python2              1510   14k 464B  0%|mysqld       187M|   0     0 |  16    7    0    7    0
Apr 01 01:51:59 ubuntu dstat.sh[1374]: 01-04 01:51:59|  2   2  46  45   6| 627M  519M 88.6M 2625M|4705B 1944B|   0   668k|   0  47.0 | 548   935 |1.35 1.33 1.27|  0 1.0   0|   0     0 |mysqld               632  2.5%   0    0 |python2              1510   14k 461B0.5%|mysqld       187M|   0     0 |  16    7    0    7    0
Apr 01 01:52:00 ubuntu dstat.sh[1374]: 01-04 01:52:00|  1   3  47  43   4| 627M  519M 88.8M 2625M|5049B 2160B|   0  1116k|   0  76.0 | 745  1189 |1.35 1.33 1.27|  0 1.0   0|   0     0 |mysqld               632  1.5%   0    0 |python2              1510   14k 463B  0%|mysqld       187M|   0     0 |  16    7    0    7    0
Apr 01 01:52:01 ubuntu dstat.sh[1374]: 01-04 01:52:01|  4   3  47  42   5| 628M  518M 89.1M 2625M|5268B 1944B|   0  1216k|   0   107 | 863  1561 |1.35 1.33 1.27|1.0 1.0   0|   0     0 |mysqld               632  5.0%   0    0 |python2              1510   14k 464B  0%|mysqld       187M|   0     0 |  16    7    0    7    0
Apr 01 01:52:02 ubuntu dstat.sh[1374]: 01-04 01:52:02|  8  10  38  36   9| 629M  517M 89.3M 2625M|3894B 2106B|   0  1000k|   0   104 | 802  1743 |1.32 1.32 1.26|  0 1.0   0|   0     0 |mysqld               632   18%   0    0 |python2              1510   14k 463B  0%|mysqld       188M|   0     0 |  16    7    0    6    0
Apr 01 01:52:03 ubuntu dstat.sh[1374]: 01-04 01:52:03|  9   8  35  42   7| 629M  515M 89.6M 2626M|3666B 1998B|   0  1132k|   0   106 | 807  1789 |1.32 1.32 1.26|  0 1.0 2.0|   0     0 |mysqld               632   14%   0    0 |python2              1510   14k 458B0.5%|mysqld       188M|   0     0 |  16    7    0    6    0
Apr 01 01:52:04 ubuntu dstat.sh[1374]: 01-04 01:52:04| 12   9  30  45   5| 629M  515M 89.7M 2626M|3722B 2160B|   0   600k|   0  77.0 | 587   976 |1.32 1.32 1.26|  0 3.0   0|   0     0 |mysqld               632   19%   0    0 |python2              1510   14k 450B  0%|mysqld       188M|   0     0 |  16    7    0    6    0
Apr 01 01:52:05 ubuntu dstat.sh[1374]: 01-04 01:52:05|  1   2  18  80   1| 629M  515M 89.7M 2626M|3738B 1944B|   0  2712k|   0   165 | 578   697 |1.32 1.32 1.26|  0 1.0   0|   0     0 |kworker/u4:3         91   0.5%   0    0 |python2              1510   14k 463B0.5%|mysqld       188M|   0     0 |  16    7    0    6    0
Apr 01 01:52:06 ubuntu dstat.sh[1374]: 01-04 01:52:06|  7   6  38  42   9| 630M  515M 89.9M 2626M|4616B 1890B|   0  1028k|   0  85.0 | 673  1290 |1.32 1.32 1.26|1.0 1.0   0|   0     0 |mysqld               632   12%   0    0 |python2              1510   14k 457B  0%|mysqld       189M|   0     0 |  16    7    0    6    0
Apr 01 01:52:07 ubuntu dstat.sh[1374]: 01-04 01:52:07|  7   8  36  41   7| 630M  514M 90.1M 2626M|5357B 2214B|   0  1308k|   0   113 | 831  1584 |1.30 1.32 1.26|  0 1.0   0|   0     0 |mysqld               632   14%   0    0 |python2              1510   14k 464B  0%|mysqld       189M|   0     0 |  16    7    0    6    0
Apr 01 01:52:08 ubuntu dstat.sh[1374]: 01-04 01:52:08|  7   5  43  40   5| 631M  513M 90.4M 2626M|4293B 1944B|   0  1484k|   0   109 | 864  1679 |1.30 1.32 1.26|  0 1.0   0|   0     0 |mysqld               632  8.0%   0    0 |python2              1510   14k 464B  0%|mysqld       190M|   0     0 |  16    7    0    6    0
Apr 01 01:52:09 ubuntu dstat.sh[1374]: 01-04 01:52:09| 12  15  35  33   5| 632M  512M 90.6M 2626M|4479B 1944B|   0  1256k|   0   107 | 961  1481 |1.30 1.32 1.26|1.0   0   0|   0     0 |mysqld               632   24%   0    0 |python2              1510   14k 466B  0%|mysqld       190M|   0     0 |  16    7    0    6    0
Apr 01 01:52:10 ubuntu dstat.sh[1374]: 01-04 01:52:10|  7   5  44  37   6| 632M  512M 90.8M 2626M|4450B 2160B|   0  1572k|   0   114 |1013  1694 |1.30 1.32 1.26|2.0   0   0|   0     0 |mysqld               632  7.0%   0    0 |keystone-manage      2778   10k6267B4.5%|mysqld       191M|   0     0 |  16    7    0    6    0
Apr 01 01:52:11 ubuntu dstat.sh[1374]: 01-04 01:52:11|  2   5  47  44   3| 634M  444M 90.9M 2690M|4177B 1944B|   0  9732k|   0   141 | 529   610 |1.30 1.32 1.26|  0 2.0   0|   0     0 |mysqld               632  3.0%   0    0 |python2              1510   14k 463B  0%|mysqld       192M|   0     0 |  16    7    0    6    0
Apr 01 01:52:12 ubuntu dstat.sh[1374]: 01-04 01:52:12|  1   1  48  47   2| 633M  445M 90.9M 2690M|4481B 2254B|   0    12M|   0   204 | 606   593 |1.35 1.33 1.27|  0 2.0   0|   0     0 |beam.smp             2039 1.0%   0    0 |python2              1510   14k 464B  0%|mysqld       192M|   0     0 |  16    7    0    6    0
Apr 01 01:52:13 ubuntu dstat.sh[1374]: 01-04 01:52:13|  2   3  47  46   3| 633M  444M 90.9M 2691M|4386B 1944B|   0    58M|   0  84.0 | 411   959 |1.35 1.33 1.27|1.0 1.0 2.0|   0     0 |mysqld               632  1.0%   0    0 |python2              1510   14k 465B0.5%|mysqld       192M|   0     0 |  16    7    0    6    0
Apr 01 01:52:14 ubuntu dstat.sh[1374]: 01-04 01:52:14|  2   2  43  53   2| 633M  444M 91.0M 2691M|4306B 2160B|   0  2880k|   0  79.0 | 492   898 |1.35 1.33 1.27|  0 1.0   0|   0     0 |etcd                 2472 1.0%   0    0 |python2              1510   14k 462B0.5%|mysqld       192M|   0     0 |  16    7    0    6    0
Apr 01 01:52:15 ubuntu dstat.sh[1374]: 01-04 01:52:15|  3   2  44  51   1| 633M  443M 91.1M 2691M|6130B 2106B|   0  1468k|   0  85.0 | 698  1107 |1.35 1.33 1.27|  0 2.0   0|   0     0 |mysqld               632  1.5%   0    0 |python2              1510   14k 463B  0%|mysqld       192M|   0     0 |  16    7    0    6    0
Apr 01 01:52:16 ubuntu dstat.sh[1374]: 01-04 01:52:16|  3   1  44  51   1| 634M  442M 91.3M 2691M|4496B 1782B|   0   888k|   0  65.0 | 606  1009 |1.35 1.33 1.27|  0 1.0   0|   0     0 |keystone-manage      2778 1.5%3060B1683B|python2              1510   14k 462B  0%|mysqld       192M|   0     0 |  16    7    0    6    0
Apr 01 01:52:17 ubuntu dstat.sh[1374]: 01-04 01:52:17|  8   6  45  42   0| 634M  442M 91.5M 2691M|5125B 2160B|   0  1188k|   0   116 | 981  1610 |1.41 1.34 1.27|  0 1.0   0|   0     0 |mysqld               632  8.5%   0    0 |python2              1510   14k 454B  0%|mysqld       192M|   0     0 |  16    7    0    6    0
Apr 01 01:52:18 ubuntu dstat.sh[1374]: 01-04 01:52:18|  3   2  43  51   1| 634M  441M 91.7M 2691M|4661B 2160B|   0  1652k|   0   104 | 692  1153 |1.41 1.34 1.27|  0 2.0   0|   0     0 |mysqld               632  2.0%   0    0 |python2              1510   14k 452B  0%|mysqld       193M|   0     0 |  16    7    0    6    0
Apr 01 01:52:19 ubuntu dstat.sh[1374]: 01-04 01:52:19|  6   3  46  44   1| 634M  440M 91.9M 2692M|9830B 1836B|   0  1348k|   0   101 | 813  1478 |1.41 1.34 1.27|  0 1.0   0|   0     0 |mysqld               632  4.0%   0    0 |python2              1510   14k 464B0.5%|mysqld       193M|   0     0 |  16    7    0    6    0
Apr 01 01:52:20 ubuntu dstat.sh[1374]: 01-04 01:52:20|  1   1  13  84   1| 635M  440M 91.9M 2692M|6313B 2268B|   0   208k|   0  10.0 | 354   639 |1.41 1.34 1.27|  0 3.0   0|   0     0 |accounts-daemon      975  0.5%   0    0 |python2              1510   14k 461B  0%|mysqld       193M|   0     0 |  16    7    0    6    0
Apr 01 01:52:21 ubuntu dstat.sh[1374]: 01-04 01:52:21|  2   0   0  98   0| 635M  440M 91.9M 2692M|3691B 2160B|   0     0 |   0     0 | 259   582 |1.41 1.34 1.27|  0 3.0   0|   0     0 |python2              1510 0.5%  14k 412B|python2              1510   14k 412B0.5%|mysqld       193M|   0     0 |  16    7    0    6    0
Apr 01 01:52:22 ubuntu dstat.sh[1374]: 01-04 01:52:22|  9   7  36  47   1| 635M  440M 92.0M 2692M|5769B 1944B|   0   448k|   0  44.0 | 490   842 |1.45 1.35 1.28|1.0 1.0   0|   0     0 |mysqld               632   15%   0    0 |python2              1510   14k 461B  0%|mysqld       193M|   0     0 |  16    7    0    6    0
Apr 01 01:52:23 ubuntu dstat.sh[1374]: 01-04 01:52:23|  9   7  43  39   1| 635M  439M 92.2M 2692M|4893B 2160B|   0  1376k|   0   115 | 922  1850 |1.45 1.35 1.28|1.0 1.0 2.0|   0     0 |mysqld               632   12%   0    0 |python2              1510   14k 476B0.5%|mysqld       193M|   0     0 |  16    7    0    6    0
Apr 01 01:52:24 ubuntu dstat.sh[1374]: 01-04 01:52:24|  5   5  36  54   1| 635M  439M 92.3M 2692M|3586B 2160B|   0   376k|   0  35.0 | 501   949 |1.45 1.35 1.28|1.0 1.0   0|   0     0 |mysqld               632  8.5%   0    0 |python2              1510   14k 467B  0%|mysqld       193M|   0     0 |  16    7    0    6    0
Apr 01 01:52:25 ubuntu dstat.sh[1374]: 01-04 01:52:25|  6   4  44  45   0| 635M  439M 92.4M 2692M|3903B 2160B|   0   872k|   0  59.0 | 715  1347 |1.45 1.35 1.28|  0 1.0   0|   0     0 |mysqld               632  5.5%   0    0 |python2              1510   14k 456B  0%|mysqld       193M|   0     0 |  16    7    0    6    0
Apr 01 01:52:26 ubuntu dstat.sh[1374]: 01-04 01:52:26| 11  10  44  35   0| 635M  439M 92.6M 2692M|4144B 2160B|   0  1328k|   0   105 | 962  1815 |1.45 1.35 1.28|  0 1.0   0|   0     0 |mysqld               632   18%   0    0 |python2              1510   14k 456B  0%|mysqld       194M|   0     0 |  16    7    0    6    0
Apr 01 01:52:27 ubuntu dstat.sh[1374]: 01-04 01:52:27| 13   9  43  33   3| 636M  438M 92.8M 2692M|3420B 1944B|   0  1376k|   0   105 | 984  1782 |1.42 1.35 1.27|1.0 1.0   0|   0     0 |mysqld               632   17%   0    0 |python2              1510   14k 471B0.5%|mysqld       194M|   0     0 |  16    7    0    6    0
Apr 01 01:52:28 ubuntu dstat.sh[1374]: 01-04 01:52:28| 15  11  32  42   1| 636M  437M 93.0M 2692M|3967B 2160B|   0  2136k|   0   143 | 972  1781 |1.42 1.35 1.27|  0 1.0   0|   0     0 |mysqld               632   20%   0    0 |python2              1510   14k 466B  0%|mysqld       194M|   0     0 |  16    7    0    6    0
Apr 01 01:52:29 ubuntu dstat.sh[1374]: 01-04 01:52:29|  9  13  29  47   2| 636M  437M 93.2M 2692M|4763B 1944B|   0  1180k|   0  99.0 | 850  1494 |1.42 1.35 1.27|  0 1.0   0|   0     0 |mysqld               632   20%   0    0 |python2              1510   14k 453B  0%|mysqld       194M|   0     0 |  16    7    0    6    0
Apr 01 01:52:30 ubuntu dstat.sh[1374]: 01-04 01:52:30| 10   5  41  43   1| 637M  436M 93.4M 2692M|5902B 2160B|   0  1256k|   0  97.0 | 730  1474 |1.42 1.35 1.27|  0 1.0   0|   0     0 |mysqld               632   12%   0    0 |python2              1510   14k 464B0.5%|mysqld       194M|   0     0 |  16    7    0    6    0
Apr 01 01:52:31 ubuntu dstat.sh[1374]: 01-04 01:52:31|  6   7  37  47   4| 637M  436M 93.5M 2692M|4033B 2160B|   0   936k|   0  79.0 | 675  1423 |1.42 1.35 1.27|  0 2.0   0|   0     0 |mysqld               632   11%   0    0 |python2              1510   14k 468B  0%|mysqld       194M|   0     0 |  16    7    0    6    0
Apr 01 01:52:32 ubuntu dstat.sh[1374]: 01-04 01:52:32| 19  14  35  29   3| 637M  436M 93.6M 2692M|4862B 1944B|   0   828k|   0  62.0 | 833  1640 |1.46 1.36 1.28|1.0 1.0   0|   0     0 |mysqld               632   27%   0    0 |python2              1510   14k 464B  0%|mysqld       195M|   0     0 |  16    7    0    6    0
Apr 01 01:52:33 ubuntu dstat.sh[1374]: 01-04 01:52:33| 11   8  39  37   5| 637M  436M 93.8M 2692M|5033B 2160B|   0  1552k|   0   105 | 905  1671 |1.46 1.36 1.28|1.0   0 2.0|   0     0 |mysqld               632   14%   0    0 |python2              1510   14k 471B0.5%|mysqld       195M|   0     0 |  16    7    0    6    0
Apr 01 01:52:34 ubuntu dstat.sh[1374]: 01-04 01:52:34|  8   8  42  39   3| 637M  435M 94.0M 2692M|4416B 1944B|   0  1324k|   0   102 | 893  1649 |1.46 1.36 1.28|1.0 1.0   0|   0     0 |mysqld               632   14%   0    0 |python2              1510   14k 466B  0%|mysqld       195M|   0     0 |  16    7    0    6    0
Apr 01 01:52:35 ubuntu dstat.sh[1374]: 01-04 01:52:35| 11   9  38  37   5| 637M  435M 94.2M 2692M|4633B 1944B|   0  1264k|   0   101 | 803  1452 |1.46 1.36 1.28|1.0 1.0   0|   0     0 |mysqld               632   19%   0    0 |python2              1510   14k 471B  0%|mysqld       195M|   0     0 |  16    7    0    6    0
Apr 01 01:52:36 ubuntu dstat.sh[1374]: 01-04 01:52:36| 17  11  40  24   9| 638M  434M 94.4M 2692M|6950B 2160B|   0  1168k|   0  86.0 | 761  1278 |1.46 1.36 1.28|2.0   0   0|   0     0 |mysqld               632   25%   0    0 |python2              1510   14k 471B0.5%|mysqld       195M|   0     0 |  16    7    0    6    0
Apr 01 01:52:37 ubuntu dstat.sh[1374]: 01-04 01:52:37| 39  21  22  13   5| 638M  433M 94.5M 2693M|4905B 1998B|   0  1188k|   0  82.0 |1086  2249 |1.67 1.40 1.29|3.0 1.0   0|   0     0 |python2              1692  34% 263k 286k|python3.6            7597  267k 556k4.0%|mysqld       196M|   0     0 |  16    7    0    6    0
Apr 01 01:52:38 ubuntu dstat.sh[1374]: 01-04 01:52:38| 12   8  44  32   4| 638M  433M 94.6M 2692M|4931B 2106B|   0  1176k|   0  90.0 | 830  1663 |1.67 1.40 1.29|  0 1.0   0|   0     0 |mysqld               632   15%   0    0 |python2              1510   14k 464B  0%|mysqld       196M|   0     0 |  16    7    0    6    0
Apr 01 01:52:39 ubuntu dstat.sh[1374]: 01-04 01:52:39|  8   6  32  52   3| 638M  433M 94.8M 2693M|3756B 1944B|   0  1312k|   0   117 | 732  1349 |1.67 1.40 1.29|  0 1.0   0|   0     0 |mysqld               632   12%   0    0 |python2              1510   14k 464B  0%|mysqld       196M|   0     0 |  16    7    0    6    0
Apr 01 01:52:40 ubuntu dstat.sh[1374]: 01-04 01:52:40|  9   7  39  40   5| 638M  432M 95.0M 2693M|3248B 1944B|   0  1332k|   0   109 | 870  1729 |1.67 1.40 1.29|1.0   0   0|   0     0 |mysqld               632   13%   0    0 |keystone-manage      2778 8450B6357B2.0%|mysqld       196M|   0     0 |  16    7    0    6    0
Apr 01 01:52:41 ubuntu dstat.sh[1374]: 01-04 01:52:41| 14  13  34  37   3| 639M  432M 95.1M 2693M|6189B 2160B|   0  1004k|   0  77.0 | 853  1386 |1.67 1.40 1.29|1.0 1.0   0|   0     0 |mysqld               632   25%   0    0 |python2              1510   13k 467B0.5%|mysqld       196M|   0     0 |  16    7    0    3    0
Apr 01 01:52:42 ubuntu dstat.sh[1374]: 01-04 01:52:42| 15  13  32  37   5| 639M  431M 95.2M 2693M|6248B 2052B|   0  1100k|   0  81.0 | 981  1901 |1.61 1.39 1.29|  0 1.0   0|   0     0 |mysqld               632   20%   0    0 |python2              1510   13k 465B  0%|mysqld       196M|   0     0 |  16    7    0    3    0
Apr 01 01:52:43 ubuntu dstat.sh[1374]: 01-04 01:52:43| 13   9  38  39   2| 639M  431M 95.4M 2693M|5716B 2052B|   0  1120k|   0  84.0 | 856  1585 |1.61 1.39 1.29|1.0 1.0 2.0|   0     0 |mysqld               632   17%   0    0 |python2              1510   13k 477B  0%|mysqld       196M|   0     0 |  16    7    0    3    0
Apr 01 01:52:44 ubuntu dstat.sh[1374]: 01-04 01:52:44| 10   7  41  40   3| 639M  430M 95.6M 2693M|5223B 2202B|   0  1580k|   0   113 |1018  2054 |1.61 1.39 1.29|  0 1.0   0|   0     0 |mysqld               632  9.5%   0    0 |python2              1510   13k 467B0.5%|mysqld       196M|   0     0 |  16    7    0    3    0
Apr 01 01:52:45 ubuntu dstat.sh[1374]: 01-04 01:52:45| 10   9  39  39   3| 640M  430M 95.8M 2693M|5603B 1944B|   0  1276k|   0  96.0 | 867  1625 |1.61 1.39 1.29|  0 1.0   0|   0     0 |mysqld               632   14%   0    0 |python2              1510   13k 464B  0%|mysqld       197M|   0     0 |  16    7    0    3    0
Apr 01 01:52:46 ubuntu dstat.sh[1374]: 01-04 01:52:46|  2   2  46  49   2| 640M  429M 95.9M 2693M|4732B 2160B|   0   880k|   0  57.0 | 564   959 |1.61 1.39 1.29|  0 2.0   0|   0     0 |mysqld               632  1.5%   0    0 |python2              1510   13k 462B  0%|mysqld       197M|   0     0 |  16    7    0    3    0
Apr 01 01:52:47 ubuntu dstat.sh[1374]: 01-04 01:52:47|  9   8  39  42   2| 640M  429M 96.1M 2693M|3657B 1944B|   0  1356k|   0   108 | 861  1358 |1.56 1.39 1.29|1.0   0   0|   0     0 |mysqld               632   14%   0    0 |python2              1510   13k 465B  0%|mysqld       197M|   0     0 |  16    7    0    3    0
Apr 01 01:52:48 ubuntu dstat.sh[1374]: 01-04 01:52:48| 11   9  35  44   2| 640M  428M 96.3M 2693M|3684B 1944B|   0  1204k|   0  91.0 | 834  1444 |1.56 1.39 1.29|  0 1.0   0|   0     0 |mysqld               632   17%   0    0 |python2              1510   13k 465B0.5%|mysqld       197M|   0     0 |  16    7    0    3    0
Apr 01 01:52:49 ubuntu dstat.sh[1374]: 01-04 01:52:49|  6   2  49  44   1| 640M  428M 96.3M 2693M|4188B 2160B|   0  1028k|   0  67.0 | 688  1671 |1.56 1.39 1.29|1.0 1.0   0|   0     0 |keystone-manage      2778 3.5%6882B4410B|python2              1510   13k 464B  0%|mysqld       197M|   0     0 |  16    7    0    3    0
Apr 01 01:52:50 ubuntu dstat.sh[1374]: 01-04 01:52:50|  3   1  48  47   1| 640M  428M 96.4M 2693M|6669B 2160B|   0   496k|   0  29.0 | 465   874 |1.56 1.39 1.29|1.0 1.0   0|   0     0 |mysqld               632  1.5%   0    0 |python2              1510   13k 468B  0%|mysqld       197M|   0     0 |  16    7    0    3    0
Apr 01 01:52:51 ubuntu dstat.sh[1374]: 01-04 01:52:51| 10  13  30  47   1| 640M  428M 96.5M 2693M|7509B 1944B|   0   452k|   0  30.0 | 577  1045 |1.56 1.39 1.29|  0 1.0   0|   0     0 |mysqld               632   20%   0    0 |python2              1510   13k 465B  0%|mysqld       197M|   0     0 |  16    7    0    1    0
Apr 01 01:52:52 ubuntu dstat.sh[1374]: 01-04 01:52:52| 11  12  30  47   1| 641M  427M 96.6M 2693M|5830B 2160B|   0   508k|   0  43.0 | 543   979 |1.60 1.40 1.29|  0 1.0   0|   0     0 |mysqld               632   20%   0    0 |python2              1510   13k 470B0.5%|mysqld       197M|   0     0 |  16    7    0    1    0
Apr 01 01:52:53 ubuntu dstat.sh[1374]: 01-04 01:52:53|  3   2  49  46   1| 641M  427M 96.6M 2693M|4841B 2160B|   0   284k|   0  15.0 | 520  1198 |1.60 1.40 1.29|  0 1.0 2.0|   0     0 |keystone-manage      2778 2.0%4841B2468B|python2              1510   13k 459B  0%|mysqld       197M|   0     0 |  16    7    0    1    0
Apr 01 01:52:54 ubuntu dstat.sh[1374]: 01-04 01:52:54|  3   1  47  48   1| 641M  427M 96.6M 2693M|4772B 2160B|   0   264k|   0  13.0 | 351   762 |1.60 1.40 1.29|  0 2.0   0|   0     0 |beam.smp             2039 1.0%   0    0 |python2              1510   13k 456B  0%|mysqld       197M|   0     0 |  16    7    0    1    0
Apr 01 01:52:55 ubuntu dstat.sh[1374]: 01-04 01:52:55|  1   1  50  48   0| 641M  427M 96.6M 2693M|4550B 2160B|   0   664k|   0  5.00 | 284   651 |1.60 1.40 1.29|  0 1.0   0|   0     0 |python2              1510 0.5%  13k 451B|python2              1510   13k 451B0.5%|mysqld       197M|   0     0 |  16    7    0    1    0
Apr 01 01:52:56 ubuntu dstat.sh[1374]: 01-04 01:52:56|  2   2  46  51   1| 641M  427M 96.6M 2694M|3609B 1986B|   0  2256k|   0  19.0 | 394   934 |1.60 1.40 1.29|  0 1.0   0|   0     0 |mysqld               632  1.0%   0    0 |python2              1510   13k 463B  0%|mysqld       197M|   0     0 |  16    7    0    1    0
Apr 01 01:52:57 ubuntu dstat.sh[1374]: 01-04 01:52:57|  2   1  42  56   0| 641M  427M 96.6M 2694M|3906B 2160B|   0  1952k|   0  22.0 | 362   659 |1.63 1.41 1.30|  0 1.0   0|   0     0 |beam.smp             2039 1.0%   0    0 |python2              1510   13k 453B  0%|mysqld       197M|   0     0 |  16    7    0    1    0
Apr 01 01:52:58 ubuntu dstat.sh[1374]: 01-04 01:52:58|  6   8  30  56   1| 641M  426M 96.8M 2694M|3334B 2160B|   0  3400k|   0  78.0 | 618  1295 |1.63 1.41 1.30|1.0 1.0   0|   0     0 |mysqld               632   11%   0    0 |python2              1510   13k 470B0.5%|mysqld       198M|   0     0 |  16    7    0    1    0
