"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","11 Mar 2020 14:03:43 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
11-03 14:04:28,10.714,6.122,44.898,38.265,0,675127296,238645248,124755968,2981888000,4218,2160,0,1871872,0,141,772,1855,1.680,1.220,1.120,1,1,0,0,0,15,7,0,7,0
11-03 14:04:29,12.121,12.626,35.354,39.899,0,675164160,238268416,125071360,2981908480,5119,2160,0,1798144,0,149,871,1752,1.780,1.250,1.130,1,1,0,0,0,15,7,0,7,0
11-03 14:04:30,6.566,6.566,43.434,42.929,0.505,675667968,237408256,125345792,2981978112,5369,1944,0,1708032,0,133,854,1847,1.780,1.250,1.130,0,1,0,0,0,15,7,0,7,0
11-03 14:04:31,13.568,5.528,43.719,37.186,0,675938304,236711936,125612032,2982121472,5590,2160,0,1982464,0,132,825,2123,1.780,1.250,1.130,0,1,0,0,0,15,7,0,7,0
11-03 14:04:32,9.950,5.970,39.303,44.776,0,676364288,235884544,125861888,2982260736,5115,2160,0,1945600,0,138,773,1883,1.780,1.250,1.130,1,0,0,0,0,15,7,0,7,0
11-03 14:04:33,12,10.500,39,38,0.500,676626432,235188224,126156800,2982391808,5161,2160,0,2039808,0,153,860,1870,1.780,1.250,1.130,0,1,0,0,0,15,7,0,7,0
11-03 14:04:34,11.111,6.566,43.434,38.889,0,676892672,234520576,126418944,2982514688,5734,2106,0,1675264,0,129,863,1993,1.800,1.260,1.140,2,0,2,0,0,15,7,0,7,0
11-03 14:04:35,45.960,27.273,12.121,14.646,0,677359616,233095168,126525440,2983346176,5804,2214,0,1781760,0,62,1103,2399,1.800,1.260,1.140,3,0,0,0,0,15,7,0,7,0
11-03 14:04:36,16.832,3.465,46.040,33.168,0.495,677580800,232583168,126701568,2983452672,4572,1944,0,1736704,0,100,1093,2735,1.800,1.260,1.140,1,0,0,0,0,15,7,0,7,0
11-03 14:04:37,27.919,7.614,36.041,28.426,0,677531648,232046592,126832640,2983895040,6494,2160,0,1482752,0,86,993,3064,1.800,1.260,1.140,2,0,0,0,0,15,7,0,7,0
11-03 14:04:38,33.333,20.513,25.128,21.026,0,678264832,230543360,126984192,2984488960,5629,2160,0,1650688,0,106,905,1579,1.800,1.260,1.140,0,1,0,0,0,15,7,0,4,0
11-03 14:04:39,14,10,37.500,38,0.500,678395904,230166528,127205376,2984501248,5113,2202,0,1982464,0,153,861,1646,1.820,1.270,1.140,1,0,0,0,0,15,7,0,4,0
11-03 14:04:40,12.500,8.500,37,41.500,0.500,678957056,229179392,127467520,2984652800,5961,1944,0,2105344,0,150,918,1875,1.820,1.270,1.140,0,1,0,0,0,15,7,0,4,0
11-03 14:04:41,10.101,9.091,46.970,32.323,1.515,679206912,228802560,127664128,2984579072,7562,2160,0,1667072,0,126,773,1624,1.820,1.270,1.140,0,1,0,0,0,15,7,0,4,0
11-03 14:04:42,13.776,9.694,48.469,28.061,0,679579648,227987456,127848448,2984808448,3404,2038,0,2236416,0,153,723,1640,1.820,1.270,1.140,0,1,0,0,0,15,7,0,4,0
11-03 14:04:43,15.816,9.184,34.184,40.816,0,679219200,228085760,128061440,2984853504,4778,2160,0,2076672,0,122,775,3020,1.820,1.270,1.140,1,0,0,0,0,15,7,0,4,0
11-03 14:04:44,14,8,40.500,37,0.500,679608320,227479552,128196608,2984927232,5720,2160,0,1916928,0,114,808,2134,1.830,1.290,1.140,0,1,2,0,0,15,7,0,4,0
11-03 14:04:45,8.081,3.030,46.465,42.424,0,679591936,227323904,128327680,2984964096,5321,1944,0,1495040,0,80,617,2266,1.830,1.290,1.140,1,0,0,0,0,15,7,0,5,0
11-03 14:04:46,12.060,6.030,47.236,34.171,0.503,680026112,226529280,128593920,2985046016,10862,2160,0,2183168,0,125,870,2773,1.830,1.290,1.140,0,1,0,0,0,15,7,0,4,0
11-03 14:04:47,12.821,9.231,44.615,33.333,0,680435712,225955840,128831488,2984968192,6176,2160,0,2158592,0,145,849,2325,1.830,1.290,1.140,0,1,0,0,0,15,7,0,4,0
11-03 14:04:48,37.186,10.050,45.226,7.035,0.503,614547456,291758080,128897024,2985054208,4589,1944,0,704512,0,30,919,1915,1.830,1.290,1.140,1,0,78,0,0,15,5,0,2,0
11-03 14:04:49,45.729,6.030,37.688,9.045,1.508,641249280,264912896,128933888,2985156608,4016,2160,0,6721536,0,35,611,1176,1.770,1.280,1.140,1,0,0,0,0,15,5,0,2,0
11-03 14:04:50,48.731,3.553,17.766,29.949,0,668348416,236658688,129019904,2986196992,6894,1944,0,5914624,0,79,617,1322,1.770,1.280,1.140,1,1,0,0,0,15,5,0,2,0
11-03 14:04:51,44,7,25,23.500,0.500,614166528,289927168,129146880,2986958848,3778,1944,0,5038080,0,121,711,1342,1.770,1.280,1.140,1,1,11,0,0,15,5,0,2,0
11-03 14:04:52,46.970,4.545,47.475,1.010,0,645517312,258560000,129155072,2986967040,5167,2160,0,45056,0,6,652,695,1.770,1.280,1.140,1,0,0,0,0,15,5,0,2,0
11-03 14:04:53,47.739,4.020,47.236,1.005,0,675205120,228851712,129171456,2986971136,5502,2160,0,53248,0,6,539,767,1.770,1.280,1.140,1,0,0,0,0,15,5,0,2,0
11-03 14:04:54,25.253,30.303,42.929,1.010,0.505,603385856,300621824,129175552,2987016192,4010,1998,4096,8192,1,2,1401,3523,1.870,1.310,1.150,2,0,339,0,0,15,5,0,2,0
11-03 14:04:55,14.646,31.313,40.404,13.131,0.505,603160576,300670976,129175552,2987188224,4804,2106,0,983040,0,86,1388,3031,1.870,1.310,1.150,2,0,292,0,0,15,5,0,2,0
11-03 14:04:56,36.041,29.442,34.010,0.508,0,619548672,284119040,129175552,2987761664,5898,2160,176128,110592,3,8,1949,8089,1.870,1.310,1.150,3,0,159,0,0,15,5,0,2,0
11-03 14:04:57,85.427,14.070,0,0,0.503,657170432,246431744,129175552,2987880448,7311,2106,0,0,0,0,972,1514,1.870,1.310,1.150,2,0,84,0,0,15,7,0,2,0
11-03 14:04:58,93.035,6.965,0,0,0,718684160,184750080,129179648,2988040192,5947,2214,131072,139264,1,2,770,725,1.870,1.310,1.150,2,0,0,0,0,15,7,0,2,0
11-03 14:04:59,87.500,7.500,2.500,2.500,0,756928512,146173952,129208320,2988240896,4723,2160,20480,167936,4,34,823,735,1.880,1.320,1.160,2,0,0,0,0,15,7,0,2,0
11-03 14:05:00,91.457,8.543,0,0,0,775061504,125632512,129294336,2990223360,4548,1944,0,294912,0,29,1140,5130,1.880,1.320,1.160,2,0,1,0,0,15,7,0,2,0
11-03 14:05:01,47.716,19.797,31.472,0.508,0.508,788443136,112005120,129327104,2990465024,7251,2160,24576,0,6,0,1223,3145,1.880,1.320,1.160,1,0,171,0,0,15,5,0,3,0
11-03 14:05:02,48.241,10.050,41.709,0,0,820326400,610009088,129220608,2473103360,4134,1944,0,3514368,0,140,855,805,1.880,1.320,1.160,1,1,5,0,0,15,5,0,3,0
11-03 14:05:03,47.761,5.473,41.294,5.473,0,852856832,577466368,129224704,2473111552,3438,2160,0,4997120,0,158,861,785,1.880,1.320,1.160,1,0,0,0,0,15,5,0,3,0
11-03 14:05:04,36,4.500,45.500,13.500,0.500,867766272,561913856,129232896,2473746432,5281,2160,671744,143360,65,4,793,1132,1.880,1.320,1.160,1,0,4,0,0,15,11,0,3,0
11-03 14:05:05,30.303,10.101,38.889,20.707,0,869613568,559878144,129359872,2473807872,5199,1944,0,724992,0,74,876,1900,1.810,1.320,1.160,1,0,0,0,0,15,11,0,3,0
11-03 14:05:06,45,8.500,45.500,0.500,0.500,799956992,629481472,129384448,2473836544,5287,2160,0,331776,0,19,804,1173,1.810,1.320,1.160,1,0,53,0,0,15,5,0,6,0
11-03 14:05:07,41.709,2.513,35.678,20.101,0,820629504,608088064,129413120,2474528768,6650,2160,671744,1916928,75,65,747,1144,1.810,1.320,1.160,1,0,0,0,0,15,5,0,6,0
11-03 14:05:08,27.638,4.523,44.724,22.613,0.503,832131072,589705216,129445888,2481377280,4652,1944,6922240,180224,300,6,1057,1367,1.810,1.320,1.160,1,0,0,0,0,15,5,0,6,0
11-03 14:05:09,27.638,3.015,47.739,21.608,0,840110080,581259264,129458176,2481836032,5434,2160,380928,237568,93,6,924,1487,1.810,1.320,1.160,1,0,0,0,0,15,23,0,8,0
11-03 14:05:10,45.274,7.960,45.771,0,0.995,807120896,614170624,129458176,2481913856,12382,1944,0,0,0,0,925,1575,1.740,1.310,1.160,2,0,61,0,0,15,29,0,11,0
11-03 14:05:11,47.739,5.025,47.236,0,0,832700416,588582912,129458176,2481922048,6384,2202,0,0,0,0,618,804,1.740,1.310,1.160,2,0,1,0,0,15,29,0,11,0
11-03 14:05:12,47.761,4.975,46.766,0,0.498,847806464,573304832,129458176,2482085888,4643,1944,0,0,0,0,779,1261,1.740,1.310,1.160,1,0,0,0,0,15,31,0,15,0
11-03 14:05:13,42.714,12.060,45.226,0,0,820527104,600584192,129458176,2482085888,4181,2160,0,0,0,0,827,1468,1.740,1.310,1.160,1,0,100,0,0,15,29,0,16,0
11-03 14:05:14,49,3.500,46.500,0.500,0.500,844357632,576737280,129466368,2482094080,4451,1944,0,667648,0,3,659,776,1.740,1.310,1.160,1,0,2,0,0,15,29,0,16,0
11-03 14:05:15,47.475,6.061,46.465,0,0,805142528,615849984,129466368,2482196480,4931,2160,0,0,0,0,1041,2069,1.680,1.310,1.160,1,0,21,0,0,15,29,0,24,0
11-03 14:05:16,45.226,7.538,47.236,0,0,833347584,587632640,129466368,2482208768,7113,2160,0,0,0,0,748,873,1.680,1.310,1.160,2,0,1,0,0,15,29,0,24,0
11-03 14:05:17,48.241,3.518,47.739,0,0.503,848044032,572932096,129466368,2482212864,5322,1944,0,0,0,0,803,1214,1.680,1.310,1.160,1,0,0,0,0,15,31,0,28,0
11-03 14:05:18,46.734,9.045,42.714,1.508,0,814735360,605970432,129490944,2482454528,6729,2160,0,155648,0,15,906,1926,1.680,1.310,1.160,1,0,73,0,0,15,29,0,32,0
11-03 14:05:19,44.279,8.458,44.279,2.985,0,839598080,581079040,129515520,2482458624,5303,2160,0,364544,0,21,676,855,1.680,1.310,1.160,1,0,1,0,0,15,29,0,32,0
11-03 14:05:20,49,4,44,3,0,853790720,566702080,129531904,2482626560,6840,2160,0,57344,0,6,808,1167,1.630,1.300,1.160,1,0,0,0,0,15,31,0,35,0
11-03 14:05:21,43.216,11.055,45.226,0,0.503,814804992,605671424,129531904,2482642944,4492,2160,0,0,0,0,1002,2173,1.630,1.300,1.160,1,0,100,0,0,15,29,0,40,0
11-03 14:05:22,45.729,6.030,46.231,2.010,0,838844416,581611520,129548288,2482647040,4634,1944,0,65536,0,6,683,780,1.630,1.300,1.160,1,0,1,0,0,15,29,0,40,0
11-03 14:05:23,46.193,6.599,47.208,0,0,802754560,617676800,129548288,2482671616,5882,2160,0,0,0,0,901,1529,1.630,1.300,1.160,1,0,20,0,0,15,29,0,45,0
11-03 14:05:24,43.147,8.629,48.223,0,0,829788160,590626816,129548288,2482688000,6811,2160,0,0,0,0,784,1214,1.630,1.300,1.160,1,0,51,0,0,15,29,0,45,0
11-03 14:05:25,47.761,4.478,47.264,0,0.498,850194432,570212352,129548288,2482696192,4545,2160,0,0,0,0,614,717,1.580,1.300,1.150,1,0,0,0,0,15,29,0,45,0
11-03 14:05:26,44,8.500,46,1.500,0,806350848,614023168,129552384,2482720768,5223,2202,0,49152,0,3,949,2055,1.580,1.300,1.150,2,0,62,0,0,15,29,0,51,0
11-03 14:05:27,45.960,6.061,47.980,0,0,836984832,583376896,129552384,2482733056,5057,2160,0,0,0,0,696,840,1.580,1.300,1.150,1,0,9,0,0,15,29,0,51,0
11-03 14:05:28,48.744,3.518,44.221,3.015,0.503,856182784,564142080,129581056,2482741248,4889,2160,0,221184,0,15,738,978,1.580,1.300,1.150,1,0,0,0,0,15,31,0,52,0
11-03 14:05:29,40.909,12.626,42.929,3.535,0,818679808,601468928,129605632,2482892800,4895,1998,0,131072,0,12,886,1791,1.580,1.300,1.150,1,0,68,0,0,15,29,0,55,0
11-03 14:05:30,46.766,5.970,44.776,2.488,0,844320768,575791104,129634304,2482900992,4532,2106,0,356352,0,21,626,855,1.530,1.290,1.150,2,0,1,0,0,15,29,0,55,0
11-03 14:05:31,43.655,9.137,44.670,2.538,0,807378944,612691968,129654784,2482921472,5486,2160,0,98304,0,9,940,1797,1.530,1.290,1.150,2,0,72,0,0,15,29,0,59,0
11-03 14:05:32,46.500,5.500,47.500,0,0.500,833155072,586899456,129654784,2482937856,7321,2160,0,0,0,0,572,743,1.530,1.290,1.150,1,0,1,0,0,15,29,0,59,0
11-03 14:05:33,47.761,4.478,44.279,3.483,0,851845120,568168448,129687552,2482946048,9834,1944,0,192512,0,15,751,820,1.530,1.290,1.150,2,0,0,0,0,15,29,0,59,0
11-03 14:05:34,41.414,11.616,25.758,20.707,0.505,819253248,600727552,129712128,2482954240,9534,2160,0,1556480,0,75,1124,1902,1.530,1.290,1.150,2,1,79,0,0,15,29,0,63,0
11-03 14:05:35,46.231,5.528,41.206,6.533,0.503,843382784,576573440,129716224,2482974720,8347,2160,0,1372160,0,134,936,892,1.730,1.340,1.170,1,1,1,0,0,15,29,0,63,0
11-03 14:05:36,46.269,5.970,44.279,2.985,0.498,857817088,562094080,129740800,2482995200,4184,1944,0,565248,0,70,963,1469,1.730,1.340,1.170,1,0,0,0,0,15,29,0,68,0
11-03 14:05:37,39.303,13.433,46.766,0,0.498,826126336,593768448,129740800,2483011584,6192,2106,0,0,0,0,833,1333,1.730,1.340,1.170,2,0,86,0,0,15,29,0,68,0
11-03 14:05:38,48.241,3.518,44.221,3.518,0.503,850563072,569290752,129765376,2483019776,4172,2214,0,233472,0,15,562,767,1.730,1.340,1.170,1,0,0,0,0,15,29,0,68,0
11-03 14:05:39,42.640,8.629,44.162,3.553,1.015,808976384,610844672,129777664,2483040256,3699,1986,0,86016,0,9,1139,2188,1.730,1.340,1.170,2,0,87,0,0,15,29,0,73,0
11-03 14:05:40,44.221,7.035,48.241,0,0.503,835215360,584589312,129777664,2483056640,7133,2160,0,0,0,0,605,887,1.590,1.310,1.160,1,0,11,0,0,15,29,0,73,0
11-03 14:05:41,49.500,3,45.500,1,1,856944640,562720768,129781760,2483191808,5064,1944,0,266240,0,18,646,780,1.590,1.310,1.160,1,0,0,0,0,15,29,0,73,0
11-03 14:05:42,36.683,16.583,41.709,4.523,0.503,815833088,603774976,129806336,2483224576,4495,2254,0,241664,0,23,1139,2642,1.590,1.310,1.160,1,0,144,0,0,15,29,0,78,0
11-03 14:05:43,47.475,5.556,46.465,0.505,0,842002432,577589248,129818624,2483228672,4992,2160,0,151552,0,7,722,878,1.590,1.310,1.160,2,0,1,0,0,15,29,0,78,0
11-03 14:05:44,49,3.500,41,6,0.500,858910720,560640000,129847296,2483240960,4163,1944,0,897024,0,32,784,1314,1.590,1.310,1.160,1,0,2,0,0,15,31,0,81,0
11-03 14:05:45,47.030,7.426,45.545,0,0,818319360,601174016,129847296,2483290112,4276,2160,0,0,0,0,889,1791,1.540,1.310,1.160,1,0,21,0,0,15,29,0,87,0
11-03 14:05:46,46,6,47.500,0,0.500,842375168,577114112,129847296,2483294208,4750,2160,0,0,0,0,710,842,1.540,1.310,1.160,1,0,1,0,0,15,29,0,87,0
11-03 14:05:47,46.970,6.061,45.960,1.010,0,856932352,562372608,129863680,2483462144,3825,1944,0,65536,0,6,947,1791,1.540,1.310,1.160,1,0,0,0,0,15,29,0,95,0
11-03 14:05:48,43.719,10.553,43.719,1.508,0.503,824692736,594583552,129884160,2483470336,5356,2160,0,98304,0,9,922,1571,1.540,1.310,1.160,1,0,72,0,0,15,29,0,95,0
11-03 14:05:49,46.970,5.051,46.970,1.010,0,850436096,568803328,129900544,2483482624,4539,1944,0,172032,0,13,691,863,1.540,1.310,1.160,1,0,0,0,0,15,29,0,94,0
11-03 14:05:50,48.744,5.025,46.231,0,0,859410432,559783936,129900544,2483527680,5392,1998,0,0,0,0,1016,2059,1.500,1.300,1.160,1,0,0,0,0,15,29,0,103,0
11-03 14:05:51,38.500,17.500,43.500,0,0.500,827789312,591388672,129900544,2483544064,4190,2322,0,0,0,0,1114,2062,1.500,1.300,1.160,1,0,169,0,0,15,29,0,103,0
11-03 14:05:52,49.246,4.020,45.226,1.005,0.503,851578880,567562240,129925120,2483552256,5660,2160,0,102400,0,12,663,937,1.500,1.300,1.160,1,0,0,0,0,15,29,0,103,0
11-03 14:05:53,47.525,5.941,46.535,0,0,808079360,610885632,129925120,2483728384,7163,2160,0,0,0,0,938,2070,1.500,1.300,1.160,1,0,21,0,0,15,29,0,112,0
11-03 14:05:54,46.231,6.533,47.236,0,0,837578752,581378048,129925120,2483736576,5645,2160,0,0,0,0,788,997,1.500,1.300,1.160,1,0,3,0,0,15,29,0,112,0
11-03 14:05:55,49.246,3.015,43.719,3.518,0.503,857137152,561795072,129941504,2483744768,4560,1944,0,323584,0,19,752,1002,1.540,1.310,1.170,1,0,0,0,0,15,31,0,113,0
11-03 14:05:56,46.939,9.184,41.837,2.041,0,821571584,597303296,129957888,2483785728,5725,2160,0,73728,0,9,1095,2364,1.540,1.310,1.170,1,0,71,0,0,15,29,0,120,0
11-03 14:05:57,48.485,4.040,44.444,2.525,0.505,845996032,572850176,129974272,2483789824,8776,2160,0,131072,0,12,746,877,1.540,1.310,1.170,1,0,1,0,0,15,29,0,120,0
11-03 14:05:58,48.990,4.545,41.414,5.051,0,860233728,558567424,129990656,2483818496,5372,2160,0,385024,0,21,960,1803,1.540,1.310,1.170,1,0,0,0,0,15,31,0,126,0
11-03 14:05:59,38.579,16.244,45.178,0,0,821694464,597069824,129990656,2483855360,4432,2160,0,0,0,0,1050,2344,1.540,1.310,1.170,1,0,168,0,0,15,29,0,129,0
