"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","13 Jan 2020 22:36:13 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
13-01 22:37:26,1.508,1.005,0,96.482,1.005,702025728,307847168,117575680,2898780160,6744,2700,0,0,0,0,306,550,2.090,1.590,1.260,1,3,0,0,0,16,7,0,1,0
13-01 22:37:27,2.985,0.995,14.925,80.100,0.995,701886464,307658752,117592064,2899091456,5012,2160,0,2158592,0,13,359,724,2.090,1.590,1.260,0,1,0,0,0,16,7,0,1,0
13-01 22:37:28,2.970,1.485,39.109,53.465,2.970,702070784,307179520,117633024,2899329024,5949,2592,0,4358144,0,47,441,850,2.090,1.590,1.260,1,2,0,0,0,16,7,0,1,0
13-01 22:37:29,2.513,2.010,43.216,51.256,1.005,702001152,307023872,117686272,2899501056,4950,2268,0,2523136,0,30,401,868,2.090,1.590,1.260,1,2,0,0,0,16,7,0,1,0
13-01 22:37:30,3.941,2.463,41.379,48.768,3.448,702193664,306249728,117706752,2900033536,5308,2700,0,3706880,0,64,470,967,2.090,1.590,1.260,2,1,0,0,0,16,7,0,1,0
13-01 22:37:31,1.515,1.515,42.929,52.020,2.020,702103552,306348032,117755904,2899976192,4376,2160,0,843776,0,39,458,797,2.090,1.590,1.260,0,1,0,0,0,16,7,0,1,0
13-01 22:37:32,8.955,10.448,40.796,37.313,2.488,702214144,306122752,117805056,2900041728,5557,2700,0,1040384,0,53,589,924,2.090,1.590,1.260,1,1,0,0,0,16,7,0,1,0
13-01 22:37:33,20.896,24.876,32.338,20.398,1.493,702312448,306061312,117829632,2899976192,4855,2430,0,294912,0,17,595,756,2.090,1.590,1.260,0,1,0,0,0,16,7,0,1,0
13-01 22:37:34,2.488,1.493,30.348,63.682,1.990,702468096,305860608,117866496,2899984384,5091,2430,0,299008,0,14,473,827,2.080,1.600,1.270,0,1,2,0,0,16,7,0,1,0
13-01 22:37:35,2.030,0.508,46.701,48.731,2.030,702296064,305872896,117886976,2900123648,8313,2430,0,782336,0,18,506,819,2.080,1.600,1.270,0,2,0,0,0,16,7,0,1,0
13-01 22:37:36,1.508,1.508,30.653,65.327,1.005,702447616,305709056,117895168,2900127744,5249,2472,0,331776,0,17,423,782,2.080,1.600,1.270,0,1,0,0,0,16,7,0,1,0
13-01 22:37:37,10.837,10.837,32.512,43.350,2.463,702373888,305823744,117932032,2900029440,5596,2430,0,692224,0,44,607,1204,2.080,1.600,1.270,1,1,0,0,0,16,7,0,1,0
13-01 22:37:38,6.468,2.985,35.821,52.239,2.488,702599168,305438720,118059008,2900058112,4820,2430,0,843776,0,59,607,1199,2.080,1.600,1.270,1,2,0,0,0,16,7,0,1,0
13-01 22:37:39,2.010,1.508,45.226,49.246,2.010,702488576,305537024,118087680,2900041728,4883,2430,0,606208,0,18,435,809,1.990,1.590,1.260,3,1,0,0,0,16,7,0,1,0
13-01 22:37:40,5.970,5.473,41.791,44.776,1.990,702726144,305250304,118169600,2900008960,5978,2430,0,1347584,0,54,584,1093,1.990,1.590,1.260,0,1,0,0,0,16,7,0,1,0
13-01 22:37:41,9.453,9.453,27.363,52.239,1.493,702599168,305188864,118280192,2900082688,5302,2430,0,1216512,0,59,667,1164,1.990,1.590,1.260,0,1,0,0,0,16,7,0,1,0
13-01 22:37:42,8.040,5.025,33.166,52.261,1.508,702623744,305127424,118382592,2900017152,5758,2700,0,1310720,0,63,671,1272,1.990,1.590,1.260,2,1,0,0,0,16,7,0,1,0
13-01 22:37:43,9,8,43,38.500,1.500,702926848,304742400,118464512,2900008960,5819,2700,0,1089536,0,48,600,1254,1.990,1.590,1.260,3,1,0,0,0,16,7,0,1,0
13-01 22:37:44,34.653,25.248,28.218,5.941,5.941,702976000,304238592,118521856,2900402176,4015,2700,0,684032,0,31,882,2312,1.990,1.600,1.270,2,1,2,0,0,16,7,0,1,0
13-01 22:37:45,16.080,16.583,33.166,34.171,0,703483904,303456256,118648832,2900520960,4346,2700,0,1155072,0,55,665,1263,1.990,1.600,1.270,0,1,0,0,0,16,7,0,1,0
13-01 22:37:46,7.071,6.566,35.354,49.495,1.515,703598592,303267840,118730752,2900508672,4828,2430,0,1015808,0,52,593,1103,1.990,1.600,1.270,0,1,0,0,0,16,7,0,1,0
13-01 22:37:47,8.629,5.076,36.548,48.223,1.523,703643648,303075328,118816768,2900566016,5817,2430,0,962560,0,54,713,1605,1.990,1.600,1.270,0,1,0,0,0,16,7,0,1,0
13-01 22:37:48,2.985,1.493,37.313,56.716,1.493,703504384,303112192,118874112,2900611072,4478,2430,0,1228800,0,85,493,848,1.990,1.600,1.270,0,1,0,0,0,16,7,0,1,0
13-01 22:37:49,11.675,8.629,42.132,36.548,1.015,703881216,302600192,118968320,2900647936,6204,2700,0,868352,0,61,742,1599,1.990,1.600,1.270,0,1,0,0,0,16,7,0,1,0
13-01 22:37:50,6.030,3.015,35.176,55.276,0.503,703856640,302477312,119046144,2900709376,4563,2430,0,749568,0,38,537,885,1.990,1.600,1.270,0,1,0,0,0,16,7,0,1,0
13-01 22:37:51,12.121,7.071,35.859,44.444,0.505,704106496,302157824,119177216,2900643840,7254,2700,0,1028096,0,80,891,1396,1.990,1.600,1.270,0,2,0,0,0,16,7,0,1,0
13-01 22:37:52,12.563,13.065,36.683,37.186,0.503,704221184,301928448,119250944,2900684800,6643,2700,0,716800,0,40,663,931,1.990,1.600,1.270,1,2,0,0,0,16,7,0,1,0
13-01 22:37:53,4.103,4.103,28.205,61.538,2.051,704225280,301805568,119308288,2900742144,4134,2430,0,1302528,0,45,565,910,1.990,1.600,1.270,1,1,0,0,0,16,7,0,1,0
13-01 22:37:54,10,11.500,32,45.500,1,704585728,301420544,119341056,2900733952,4186,2430,0,303104,0,23,568,978,2.070,1.630,1.280,1,1,2,0,0,16,7,0,1,0
13-01 22:37:55,5.528,4.020,40.201,49.749,0.503,704348160,301535232,119406592,2900770816,5379,2430,0,733184,0,44,575,1189,2.070,1.630,1.280,0,1,0,0,0,16,7,0,1,0
13-01 22:37:56,5.051,2.020,42.929,46.465,3.535,704413696,301309952,119492608,2900840448,4578,2430,0,647168,0,39,583,1346,2.070,1.630,1.280,0,1,0,0,0,16,7,0,1,0
13-01 22:37:57,4,1.500,44.500,49.500,0.500,704479232,301215744,119529472,2900832256,4994,2430,0,569344,0,29,472,934,2.070,1.630,1.280,1,1,0,0,0,16,7,0,1,0
13-01 22:37:58,7.805,7.805,37.561,39.512,7.317,704729088,300769280,119640064,2900910080,5291,2484,0,770048,0,49,595,1086,2.070,1.630,1.280,0,2,0,0,0,16,7,0,1,0
13-01 22:37:59,4.615,5.128,37.949,48.205,4.103,704704512,300646400,119767040,2900926464,8897,2376,0,753664,0,56,709,1257,2.150,1.650,1.290,2,1,0,0,0,16,7,0,1,0
13-01 22:38:00,15.152,13.636,28.283,42.929,0,704811008,300548096,119836672,2900844544,5892,2472,0,622592,0,42,764,1388,2.150,1.650,1.290,0,1,0,0,0,16,7,0,1,0
13-01 22:38:01,3.518,2.513,46.231,45.729,2.010,705138688,300027904,119877632,2900979712,5060,2700,0,720896,0,36,564,1028,2.150,1.650,1.290,0,1,0,0,0,16,7,0,1,0
13-01 22:38:02,3.980,0.995,37.811,56.716,0.498,705286144,299769856,119902208,2901061632,4843,2430,0,319488,0,22,464,853,2.150,1.650,1.290,0,1,0,0,0,16,7,0,2,0
13-01 22:38:03,2,1,49,47.500,0.500,705122304,299819008,119918592,2901135360,4622,2472,0,208896,0,7,353,632,2.150,1.650,1.290,0,3,0,0,0,16,7,0,2,0
13-01 22:38:04,2.500,2.500,46,48.500,0.500,705388544,299499520,119963648,2901143552,5229,2700,0,356352,0,26,490,892,2.300,1.690,1.310,2,0,2,0,0,16,7,0,1,0
13-01 22:38:05,10,7.500,35.500,45.500,1.500,705564672,299311104,120090624,2901028864,4284,2430,0,778240,0,54,712,1206,2.300,1.690,1.310,0,2,0,0,0,16,7,0,1,0
13-01 22:38:06,5.584,4.569,47.716,41.624,0.508,705699840,298647552,120307712,2901327872,4133,2430,0,1179648,0,87,601,1241,2.300,1.690,1.310,0,1,0,0,0,16,7,0,1,0
13-01 22:38:07,4.500,2.500,46,46,1,706101248,298102784,120446976,2901327872,5250,2430,0,905216,0,66,584,1187,2.300,1.690,1.310,0,1,0,0,0,16,7,0,1,0
13-01 22:38:08,8.416,5.941,41.089,43.069,1.485,706170880,297725952,120586240,2901475328,4645,2430,0,884736,0,60,573,1069,2.300,1.690,1.310,0,2,0,0,0,16,7,0,1,0
13-01 22:38:09,9.596,4.545,41.919,42.424,1.515,706408448,297308160,120725504,2901512192,5643,2430,0,1011712,0,65,732,1362,2.350,1.710,1.320,0,1,0,0,0,16,7,0,1,0
13-01 22:38:10,4.455,4.455,41.584,45.545,3.960,706269184,297168896,120811520,2901684224,5548,2524,0,724992,0,38,649,1192,2.350,1.710,1.320,0,2,0,0,0,16,7,0,1,0
13-01 22:38:11,11.558,11.055,35.678,41.709,0,706695168,296689664,120950784,2901598208,6283,2430,0,856064,0,63,716,1059,2.350,1.710,1.320,1,1,0,0,0,16,7,0,1,0
13-01 22:38:12,11,6.500,38.500,43,1,706531328,296693760,121028608,2901680128,7395,2430,0,565248,0,31,617,962,2.350,1.710,1.320,0,1,0,0,0,16,7,0,1,0
13-01 22:38:13,2.010,1.005,47.739,48.744,0.503,706822144,296337408,121065472,2901704704,9365,2700,0,466944,0,49,462,702,2.350,1.710,1.320,0,2,0,0,0,16,7,0,1,0
13-01 22:38:14,6.468,4.975,28.856,59.701,0,706658304,296218624,121131008,2901913600,6473,2700,20480,6971392,1,102,673,1352,2.490,1.750,1.330,1,2,2,0,0,16,7,0,1,0
13-01 22:38:15,7.035,4.523,39.698,48.241,0.503,706834432,295960576,121200640,2901921792,5191,2430,0,483328,0,33,508,948,2.490,1.750,1.330,0,2,0,0,0,16,7,0,1,0
13-01 22:38:16,5.612,4.082,35.714,54.592,0,706736128,295837696,121327616,2902011904,6035,2430,0,958464,0,65,638,1169,2.490,1.750,1.330,0,1,0,0,0,16,7,0,1,0
13-01 22:38:17,14.500,14,34,37.500,0,707145728,295419904,121430016,2901917696,5230,2700,0,843776,0,60,733,1187,2.490,1.750,1.330,0,2,0,0,0,16,7,0,1,0
13-01 22:38:18,5.128,5.128,45.641,43.590,0.513,707063808,295297024,121565184,2901979136,5929,2700,0,860160,0,66,689,1076,2.490,1.750,1.330,3,2,0,0,0,16,7,0,1,0
13-01 22:38:19,18.500,15,20,46.500,0,707301376,295006208,121606144,2901987328,4117,2430,0,1183744,0,91,624,933,2.610,1.790,1.350,0,1,0,0,0,16,7,0,1,0
13-01 22:38:20,7.538,6.533,33.668,51.256,1.005,707219456,294912000,121729024,2902040576,5883,2430,0,741376,0,53,588,1012,2.610,1.790,1.350,0,2,0,0,0,16,7,0,1,0
13-01 22:38:21,9,7,40,38.500,5.500,707489792,294338560,121921536,2902138880,6864,2430,0,1392640,0,95,1035,1709,2.610,1.790,1.350,0,1,0,0,0,16,7,0,1,0
13-01 22:38:22,11.055,10.553,34.673,40.201,3.518,707674112,293961728,122093568,2902151168,8458,2430,0,1138688,0,83,894,1328,2.610,1.790,1.350,1,1,0,0,0,16,7,0,1,0
13-01 22:38:23,6.533,5.528,38.191,46.231,3.518,707948544,293515264,122232832,2902183936,5820,2430,0,1093632,0,72,818,1313,2.610,1.790,1.350,0,2,0,0,0,16,7,0,1,0
13-01 22:38:24,6.468,5.473,34.826,49.751,3.483,708108288,293199872,122351616,2902216704,5457,2700,0,974848,0,63,787,1276,2.640,1.810,1.350,0,2,2,0,0,16,7,0,1,0
13-01 22:38:25,4.020,8.040,36.181,42.211,9.548,708288512,292974592,122413056,2902196224,7391,2268,0,679936,0,43,598,1279,2.640,1.810,1.350,1,1,0,0,0,16,7,0,1,0
13-01 22:38:26,10.945,7.463,44.776,33.831,2.985,708427776,292675584,122511360,2902237184,4581,2862,0,1118208,0,69,802,1538,2.640,1.810,1.350,2,2,0,0,0,16,7,0,1,0
13-01 22:38:27,15.152,14.141,44.949,24.242,1.515,708517888,292417536,122617856,2902294528,5304,2160,0,917504,0,78,799,1387,2.640,1.810,1.350,1,1,0,0,0,16,7,0,1,0
13-01 22:38:28,15.347,11.386,43.069,29.703,0.495,708812800,292007936,122757120,2902269952,7078,2700,0,909312,0,83,869,1458,2.640,1.810,1.350,1,1,0,0,0,16,7,0,1,0
13-01 22:38:29,6.533,2.010,43.216,45.226,3.015,708845568,291688448,122859520,2902441984,5004,2430,0,1007616,0,66,835,1743,2.590,1.810,1.360,0,1,0,0,0,16,7,0,1,0
